source_image_id,provider_split,current_count,v4_count,delta,current_classes,v4_classes,added_class_counts,removed_class_counts,relabelled,reshaped_matches,match_status,notes
6hEWEvuUeZhYU514UX1O,train,1,1,0,person=1,person=1,,,,0,unchanged,
6hpR44qukoBLy0iFwzip,train,1,1,0,helmet_loose=1,helmet_loose=1,,,,0,unchanged,
6lWV6Qw0w487DgkyyVX9,train,3,3,0,helmet_on_head=1;person=1;vest_on_body=1,helmet_on_head=1;person=1;vest_on_body=1,,,,0,unchanged,
6nPmmdeGSmklKpfLZ04I,valid,3,3,0,helmet_on_head=1;person=1;vest_on_body=1,helmet_on_head=1;person=1;vest_on_body=1,,,,0,unchanged,
6wbVR0oBIJ7D6xM1XfYh,valid,2,2,0,person=1;vest_on_body=1,person=1;vest_on_body=1,,,,0,unchanged,
6yISFDLTaSrGRErrVKUw,train,32,32,0,helmet_loose=32,helmet_loose=32,,,,0,unchanged,
6zcUFRrk82e1KtW3sxk6,train,2,2,0,helmet_on_head=1;person=1,helmet_on_head=1;person=1,,,,0,unchanged,
70XMYeBZO8t3mAXtu9ke,train,3,3,0,helmet_on_head=1;person=1;vest_on_body=1,helmet_on_head=1;person=1;vest_on_body=1,,,,0,unchanged,
77sSza06NSDiTCn9F0sb,train,5,5,0,helmet_on_head=1;person=3;vest_on_body=1,helmet_on_head=1;person=3;vest_on_body=1,,,,0,unchanged,
7Qa4QokXVymOY6hvk9CF,valid,2,2,0,person=1;vest_on_body=1,person=1;vest_on_body=1,,,,0,unchanged,
7VMQ21x6vDuAvoY6Ku2F,train,6,6,0,person=5;vest_on_body=1,person=5;vest_on_body=1,,,,0,unchanged,
7ZBa5LYXLSg2gd59x0Nl,train,0,0,0,,,,,,0,unchanged,
7aLiOz0V7KPglydbD5H7,valid,9,9,0,helmet_on_head=3;person=3;vest_on_body=3,helmet_on_head=3;person=3;vest_on_body=3,,,,0,unchanged,
7fuygdEv6dS4UyQgImYj,test,6,6,0,person=4;vest_on_body=2,person=4;vest_on_body=2,,,,0,unchanged,
84V2JE8FINqroFaJRHRL,train,4,4,0,person=2;vest_on_body=2,person=2;vest_on_body=2,,,,0,unchanged,
88HbrJU619doTzltW6lx,train,7,7,0,person=7,person=7,,,,0,unchanged,
8ClEJ3kbOB1pz5A9tOlh,train,3,3,0,person=2;vest_on_body=1,person=2;vest_on_body=1,,,,0,unchanged,
8JoO2wxDSeESnh5SmJpP,train,9,9,0,person=6;vest_on_body=3,person=6;vest_on_body=3,,,,0,unchanged,
8LgvW2srLb751N5SJDxq,test,3,3,0,helmet_on_head=1;person=1;vest_on_body=1,helmet_on_head=1;person=1;vest_on_body=1,,,,0,unchanged,
8NK1Ihm4MCS1gRXK4WzH,valid,1,1,0,person=1,person=1,,,,0,unchanged,
8O2JjSJCb1ylJibwosnA,valid,3,3,0,helmet_on_head=1;person=1;vest_on_body=1,helmet_on_head=1;person=1;vest_on_body=1,,,,0,unchanged,
8Ru4Ji0Klp7qaNJNZXqv,valid,6,6,0,person=5;vest_on_body=1,person=5;vest_on_body=1,,,,1,modified_in_place,
8kz63cbCBKbeeiebv7po,train,1,1,0,person=1,person=1,,,,0,unchanged,
9ImTEhfk6VqdMSI01r6x,train,1,1,0,helmet_loose=1,helmet_loose=1,,,,0,unchanged,
9RMi9YBhKa1nLz3ugIma,train,2,2,0,person=1;vest_on_body=1,person=1;vest_on_body=1,,,,0,unchanged,
9T2zKDdtXzGyeq44pjGp,valid,2,2,0,person=2,person=2,,,,0,unchanged,
9V8ayqofeUijfaI5tMrr,train,6,6,0,helmet_on_head=2;person=2;vest_on_body=2,helmet_on_head=2;person=2;vest_on_body=2,,,,0,unchanged,
9VzteFV9D5SnmZlhQHfL,train,2,2,0,person=1;vest_on_body=1,person=1;vest_on_body=1,,,,0,unchanged,
9b7VLDWDFhy21Ygmz7ss,train,0,0,0,,,,,,0,unchanged,
9jEW0aifcZKM5bRlaCWY,train,2,1,1,helmet_loose=2,helmet_loose=1,helmet_loose=1,,,0,added_only,
9koFugzZozUI9YIfWZk0,train,0,0,0,,,,,,0,unchanged,
9uyGbpRuvoK6FWsiIhGx,train,4,4,0,helmet_on_head=1;person=2;vest_on_body=1,helmet_on_head=1;person=2;vest_on_body=1,,,,0,unchanged,
9xNY90loilCLVSX84iwp,valid,2,2,0,helmet_on_head=1;person=1,helmet_on_head=1;person=1,,,,0,unchanged,
A2iSTnVfTHioOl73tkQd,valid,4,4,0,helmet_on_head=1;person=3,helmet_on_head=1;person=3,,,,0,unchanged,
AIAwqRIKtkrSOj8atqNs,train,3,3,0,helmet_on_head=1;person=1;vest_on_body=1,helmet_on_head=1;person=1;vest_on_body=1,,,,0,unchanged,
Ai3fqVHdn3cSDpuEaa5l,train,2,2,0,helmet_on_head=1;person=1,helmet_on_head=1;person=1,,,,0,unchanged,
Ais9TUGiL1MJDTRdjVnE,train,1,1,0,helmet_loose=1,helmet_loose=1,,,,0,unchanged,
AvvR6iF4C7rqEdb4F2SB,train,1,1,0,person=1,person=1,,,,0,unchanged,
B28mQjiO7iQrGNpLEnKa,valid,2,2,0,helmet_loose=1;person=1,helmet_loose=1;person=1,,,,0,unchanged,
B2QiCIntf9RxLHCBKmVy,train,4,4,0,helmet_on_head=1;person=2;vest_on_body=1,helmet_on_head=1;person=2;vest_on_body=1,,,,0,unchanged,
B2znvjHzOOKJdNuzNnwo,valid,3,3,0,helmet_on_head=1;person=1;vest_on_body=1,helmet_on_head=1;person=1;vest_on_body=1,,,,0,unchanged,
B809pvlQ32XXT2akrDG5,train,2,2,0,person=2,person=2,,,,0,unchanged,
BFG4pp4pV1WkTUQUDVvc,valid,2,2,0,person=1;vest_on_body=1,person=1;vest_on_body=1,,,,0,unchanged,
BKQc0VOlqhWGIuqGozuK,valid,1,1,0,helmet_loose=1,helmet_loose=1,,,,0,unchanged,
BTDhw7BCTG4sfwnaraKa,train,2,2,0,person=1;vest_on_body=1,person=1;vest_on_body=1,,,,0,unchanged,
BZkvs1U3ZhiNDdJ7EitR,train,1,1,0,helmet_loose=1,helmet_loose=1,,,,0,unchanged,
BgmyvUGHmaKd9YGpEfYd,test,3,3,0,helmet_on_head=1;person=1;vest_on_body=1,helmet_on_head=1;person=1;vest_on_body=1,,,,0,unchanged,
BhdMkBrR1P1zUTVq9DaC,train,2,2,0,helmet_loose=1;person=1,helmet_loose=1;person=1,,,,0,unchanged,
BqslKEg23m8hmDaQGJMo,train,4,3,1,helmet_on_head=1;person=1;vest_on_body=2,helmet_on_head=1;person=1;vest_on_body=1,vest_on_body=1,,,1,added_only,
BwtdnuFIdhZLIWJuO3BZ,train,1,1,0,person=1,person=1,,,,0,unchanged,
CDbWzCeakwV73xXd2qlq,train,6,3,3,helmet_on_head=1;person=1;vest_on_body=4,helmet_on_head=1;person=1;vest_on_body=1,vest_on_body=4,vest_on_body=1,,0,added_and_removed,
CF4PPPCAZgulnXoSl3hj,train,6,6,0,helmet_on_head=2;person=2;vest_on_body=2,helmet_on_head=2;person=2;vest_on_body=2,,,,0,unchanged,
CGks86YYT3ldFKEyDmBe,valid,1,1,0,person=1,person=1,,,,0,unchanged,
CM5yr8YHsaaoIdidqtnU,train,2,2,0,person=1;vest_on_body=1,person=1;vest_on_body=1,,,,0,unchanged,
CSJxc0owYRXzhKLvpTQ9,test,1,1,0,person=1,person=1,,,,0,unchanged,
CVIS4alNHovwaIjoYMxe,train,1,1,0,person=1,person=1,,,,0,unchanged,
Cd1T5uyp8ZPWDdHbg0nr,train,4,4,0,person=4,person=4,,,,0,unchanged,
CoVIro6CIADvOn5LnoQw,train,2,2,0,helmet_on_head=1;person=1,helmet_on_head=1;person=1,,,,0,unchanged,
D2TlRBeF3Z3XnwTXgwdf,train,6,6,0,helmet_on_head=2;person=2;vest_on_body=2,helmet_on_head=2;person=2;vest_on_body=2,,,,0,unchanged,
DErEbvqFZXpWqvCNQa9N,train,2,2,0,helmet_on_head=1;person=1,helmet_on_head=1;person=1,,,,0,unchanged,
DOt8L8n8BNwvRpo1BFy7,train,2,2,0,person=2,person=2,,,,0,unchanged,
DQK6LrJqCXecgKPqH5UV,train,2,2,0,helmet_on_head=1;person=1,helmet_on_head=1;person=1,,,,0,unchanged,
DRtY5eg2m6BkQJHYfMJy,test,2,2,0,helmet_on_head=1;person=1,helmet_on_head=1;person=1,,,,0,unchanged,
DY7f9eSSIqF3cejIv59H,train,6,6,0,person=6,person=6,,,,0,unchanged,
DcP4LlxYQwLImU646IZ7,train,4,4,0,helmet_on_head=1;person=1;vest_on_body=2,helmet_on_head=1;person=1;vest_on_body=2,,,,0,unchanged,
Df656VZ1wmrTjmmkqq3j,train,1,1,0,person=1,person=1,,,,0,unchanged,
DiZN18wef1vuHh6pVvtI,train,1,1,0,helmet_loose=1,helmet_loose=1,,,,0,unchanged,
Dl8EqAh6dPQw7Dq34TlH,train,3,3,0,helmet_loose=1;person=1;vest_on_body=1,helmet_loose=1;person=1;vest_on_body=1,,,,0,unchanged,
Dny3q3vJmCFOBIzhGir1,valid,2,2,0,helmet_on_head=1;person=1,helmet_on_head=1;person=1,,,,0,unchanged,
EMcfZIuO2gmvi4krBUxS,train,5,3,2,helmet_on_head=1;person=2;vest_on_body=2,helmet_on_head=1;person=1;vest_on_body=1,person=2;vest_on_body=1,person=1,,2,added_and_removed,
EdR5Rau43iqKaPKbjsHM,test,2,2,0,person=1;vest_on_body=1,person=1;vest_on_body=1,,,,0,unchanged,
F75mTbxKUV3DbBpuTvZq,train,4,4,0,helmet_on_head=1;person=2;vest_on_body=1,helmet_on_head=1;person=2;vest_on_body=1,,,,0,unchanged,
F9BUOPsajE69txpyePoP,train,5,5,0,helmet_loose=1;person=2;vest_on_body=2,helmet_loose=1;person=2;vest_on_body=2,,,,0,unchanged,
FBzxttXYsNSZKcVNofUI,valid,3,3,0,person=3,person=3,,,,0,unchanged,
FbZqQM7gZbTKYNSbQPNc,test,9,9,0,helmet_on_head=2;person=5;vest_on_body=2,helmet_on_head=2;person=5;vest_on_body=2,,,,0,unchanged,
Fclex3JhZn6KA5UzhPqs,valid,3,3,0,helmet_loose=1;person=1;vest_on_body=1,helmet_loose=1;person=1;vest_on_body=1,,,,0,unchanged,
FdDCioACvsve0FOYsuw2,train,2,2,0,person=1;vest_on_body=1,person=1;vest_on_body=1,,,,0,unchanged,
FnmvDGwRQ2lAaLFhuOWQ,train,2,2,0,helmet_on_head=1;person=1,helmet_on_head=1;person=1,,,,0,unchanged,
Foo1oq3oHF7pBhTWKpnL,train,3,3,0,helmet_loose=1;person=1;vest_on_body=1,helmet_loose=1;person=1;vest_on_body=1,,,,0,unchanged,
FxSzogHP5qjTmbBVRQ5K,train,3,3,0,person=2;vest_on_body=1,person=2;vest_on_body=1,,,,0,unchanged,
FyyZcyYXsPHz2XgfCwAs,valid,3,3,0,helmet_on_head=1;person=1;vest_on_body=1,helmet_on_head=1;person=1;vest_on_body=1,,,,0,unchanged,
G4gekWExHFiC5oxkqJg6,train,6,6,0,person=6,person=6,,,,0,unchanged,
G6t1yK9gNn0LIS4hbciD,train,2,2,0,person=1;vest_on_body=1,person=1;vest_on_body=1,,,,0,unchanged,
GAAQsDQ6cH9YB5cJ6aHb,train,3,3,0,helmet_on_head=1;person=1;vest_on_body=1,helmet_on_head=1;person=1;vest_on_body=1,,,,0,unchanged,
GF2RQ1mpGBJzlTjKoCHR,test,6,6,0,helmet_on_head=2;person=2;vest_on_body=2,helmet_on_head=2;person=2;vest_on_body=2,,,,0,unchanged,
GI3xss1sRRS18wHohAkx,train,2,2,0,person=1;vest_on_body=1,person=1;vest_on_body=1,,,,0,unchanged,
GKGcxwlCacsz6brHHLRV,train,1,1,0,helmet_loose=1,helmet_loose=1,,,,0,unchanged,
Gbgzj50ZzCdiYvoAOmpo,train,2,2,0,person=1;vest_on_body=1,person=1;vest_on_body=1,,,,0,unchanged,
GgFocHO8SbtIBUGEFc8E,train,1,1,0,person=1,person=1,,,,0,unchanged,
GpEW4sBKjwFabVZSUq2b,train,6,6,0,helmet_on_head=2;person=2;vest_on_body=2,helmet_on_head=2;person=2;vest_on_body=2,,,,0,unchanged,
Gu6rHBgSwUF5mwFa6lfI,train,1,1,0,person=1,person=1,,,,0,unchanged,
H6Qo9zKVlWVMqPD3713Z,train,1,1,0,person=1,person=1,,,,0,unchanged,
HKL8h8X9rHt0XCXlAVNL,train,3,3,0,helmet_on_head=1;person=1;vest_on_body=1,helmet_on_head=1;person=1;vest_on_body=1,,,,0,unchanged,
HQnZU6tMxbfwgxWzc8mt,train,1,1,0,helmet_loose=1,helmet_loose=1,,,,0,unchanged,
HU0eUY9BAn3Cnsxt7y4r,valid,1,1,0,person=1,person=1,,,,0,unchanged,
HY3Mq3OzeaAt6PXtTxKq,valid,2,2,0,helmet_loose=1;person=1,helmet_loose=1;person=1,,,,0,unchanged,
HYb9stwdqDCKBBrTeTLe,valid,3,3,0,helmet_on_head=1;person=1;vest_on_body=1,helmet_on_head=1;person=1;vest_on_body=1,,,,0,unchanged,
HYomb2CyhaWUoXglExmz,train,12,12,0,helmet_on_head=4;person=4;vest_on_body=4,helmet_on_head=4;person=4;vest_on_body=4,,,,0,unchanged,
HvvG43BEgtvO5Az8qBX5,train,11,11,0,helmet_on_head=4;person=3;vest_on_body=4,helmet_on_head=4;person=3;vest_on_body=4,,,,0,unchanged,
HwlufkrcXA9g8e3aNCm5,train,8,8,0,helmet_loose=4;vest_loose=4,helmet_loose=4;vest_loose=4,,,,0,unchanged,
IGdAVWEbTKrgM8llrZbm,train,3,3,0,helmet_on_head=1;person=1;vest_on_body=1,helmet_on_head=1;person=1;vest_on_body=1,,,,0,unchanged,
IUKDvF2wZjRXWHNvujtd,train,4,4,0,person=2;vest_on_body=2,person=2;vest_on_body=2,,,,0,unchanged,
IdQmnhilWUB8CW2LFhdD,train,1,1,0,helmet_loose=1,helmet_loose=1,,,,0,unchanged,
IdlpHmd45MACc3eXTRqN,train,1,1,0,person=1,person=1,,,,0,unchanged,
IxZ3C1K7vs4I43UcFG63,valid,11,11,0,helmet_on_head=4;person=7,helmet_on_head=4;person=7,,,,1,modified_in_place,
IyVJr4DcosMWf0wZS1uN,train,1,1,0,helmet_loose=1,helmet_loose=1,,,,0,unchanged,
J1TlMOzR3PfvLVrD3kL2,train,1,1,0,person=1,person=1,,,,0,unchanged,
J3hznbBPysK0tWYT9WUi,train,2,2,0,person=1;vest_on_body=1,person=1;vest_on_body=1,,,,0,unchanged,
J43xY0jaSQexxzdN3Uoe,train,2,2,0,person=1;vest_on_body=1,person=1;vest_on_body=1,,,,0,unchanged,
J8VVYL7NFqag8Q2h1LdU,train,7,7,0,helmet_on_head=1;person=6,helmet_on_head=1;person=6,,,,3,modified_in_place,
JFPLvXzjr38rcbgvCedz,train,2,2,0,helmet_on_head=1;person=1,helmet_on_head=1;person=1,,,,0,unchanged,
JQnSkF4L5Wmw2aJj0nae,test,2,2,0,helmet_on_head=1;person=1,helmet_on_head=1;person=1,,,,0,unchanged,
JSKtWAeEIHCqkNcipvGH,train,6,6,0,helmet_on_head=2;person=2;vest_on_body=2,helmet_on_head=2;person=2;vest_on_body=2,,,,0,unchanged,
Jn53NESS4TbEWJbuvG70,train,3,3,0,helmet_on_head=1;person=1;vest_on_body=1,helmet_on_head=1;person=1;vest_on_body=1,,,,0,unchanged,
JtlLc8vU4kkL2Jz7ctjA,valid,2,2,0,helmet_on_head=1;person=1,helmet_on_head=1;person=1,,,,0,unchanged,
K0CnIma3AqzHtRo2VNdu,train,6,6,0,helmet_on_head=2;person=2;vest_on_body=2,helmet_on_head=2;person=2;vest_on_body=2,,,,0,unchanged,
KMRRC0uoR29Yq6wEaJrP,train,5,5,0,helmet_loose=5,helmet_loose=5,,,,0,unchanged,
KN9YcUjf4MbiILNfF6d1,train,6,6,0,helmet_on_head=3;person=3,helmet_on_head=3;person=3,,,,0,unchanged,
KgOOMlBEXp0QxhSxTT6a,train,0,0,0,,,,,,0,unchanged,
KqRSROf90W22N1qzQzN0,valid,0,0,0,,,,,,0,unchanged,
KyqVojaz6oaARWVjEAyG,train,9,9,0,helmet_on_head=3;person=3;vest_on_body=3,helmet_on_head=3;person=3;vest_on_body=3,,,,2,modified_in_place,
L51HLb9pTcXWg0hlY2eI,train,2,2,0,helmet_loose=2,helmet_loose=2,,,,0,unchanged,
LECJ0QrWJeyWICbOqamy,valid,8,8,0,helmet_on_head=4;person=4,helmet_on_head=4;person=4,,,,1,modified_in_place,
LSzsvsjaUz4782epO92M,train,11,11,0,helmet_on_head=4;person=4;vest_on_body=3,helmet_on_head=4;person=4;vest_on_body=3,,,,6,modified_in_place,
LUvZ2w5JsB8sHFevCPRy,train,1,1,0,person=1,person=1,,,,0,unchanged,
LVQG21gdyYgR1aZBE6h9,train,1,1,0,person=1,person=1,,,,0,unchanged,
LgO9XnFYKArvgSB2viem,train,3,3,0,helmet_on_head=1;person=1;vest_on_body=1,helmet_on_head=1;person=1;vest_on_body=1,,,,0,unchanged,
LkPWuopeX4IeCkstwBpU,train,6,6,0,helmet_on_head=2;person=2;vest_on_body=2,helmet_on_head=2;person=2;vest_on_body=2,,,,0,unchanged,
MBuNKaZBdNlilQvSv3zC,train,8,8,0,person=8,person=8,,,,3,modified_in_place,
MUAB7pAwP5R5mAfVEWsH,train,3,3,0,helmet_on_head=1;person=1;vest_on_body=1,helmet_on_head=1;person=1;vest_on_body=1,,,,0,unchanged,
Mbgd4Kw22vX5vdWxqfRn,train,8,8,0,vest_loose=8,vest_loose=8,,,,0,unchanged,
MkxXQ8wmfbTbRbgDBAK1,train,6,3,3,helmet_on_head=1;person=4;vest_on_body=1,helmet_on_head=1;person=1;vest_on_body=1,person=3,,,1,added_only,
MqWRDetc1VZN6mHw7iwA,train,3,3,0,helmet_on_head=1;person=1;vest_on_body=1,helmet_on_head=1;person=1;vest_on_body=1,,,,0,unchanged,
MvvtCo7VlWi4U7eiAk9x,valid,6,6,0,helmet_on_head=3;person=3,helmet_on_head=3;person=3,,,,1,modified_in_place,
NCdN7Jz3Eoh0ICakh5Cx,train,2,2,0,person=1;vest_on_body=1,person=1;vest_on_body=1,,,,0,unchanged,
NL3zUnIqUyNKhcch1hNK,train,3,3,0,helmet_on_head=1;person=1;vest_on_body=1,helmet_on_head=1;person=1;vest_on_body=1,,,,0,unchanged,
NSxOF60pUyiloAjZa1zY,valid,4,4,0,person=4,person=4,,,,1,modified_in_place,
Npv1zPbAHshMBBa1mbY4,test,1,1,0,helmet_loose=1,helmet_loose=1,,,,0,unchanged,
NtpAqzunm5la8DrZocsj,train,0,0,0,,,,,,0,unchanged,
OQJwjQoYsf1KUgr9G0V8,test,13,13,0,helmet_on_head=5;person=4;vest_on_body=4,helmet_on_head=5;person=4;vest_on_body=4,,,,3,modified_in_place,
OgbeepjjlVIRghzAMurI,valid,3,3,0,helmet_on_head=1;person=1;vest_on_body=1,helmet_on_head=1;person=1;vest_on_body=1,,,,0,unchanged,
OnqsKM2CX6FubTfVtaAG,valid,0,0,0,,,,,,0,unchanged,
Onxr5fVm9Rf4SRgJSUwU,valid,1,1,0,person=1,person=1,,,,0,unchanged,
OugGxvkSv1brFNywY26P,train,1,1,0,helmet_loose=1,helmet_loose=1,,,,0,unchanged,
P2bOf45tvhUMqEYK8wqW,train,3,3,0,helmet_on_head=1;person=1;vest_on_body=1,helmet_on_head=1;person=1;vest_on_body=1,,,,0,unchanged,
P4kyoAALuWE7lYtori2d,train,1,1,0,person=1,person=1,,,,0,unchanged,
P7zAHwjb68yXM9zLAlb1,valid,1,1,0,person=1,person=1,,,,0,unchanged,
P9Jz8sNsaNTHaD6dqhKc,valid,12,12,0,helmet_on_head=4;person=4;vest_on_body=4,helmet_on_head=4;person=4;vest_on_body=4,,,,1,modified_in_place,
PIo6f9EGJ9nINHXHAGy7,train,3,3,0,helmet_loose=1;person=1;vest_on_body=1,helmet_loose=1;person=1;vest_on_body=1,,,,0,unchanged,
PTpMxjS814v4U28HlRcf,train,1,1,0,person=1,person=1,,,,0,unchanged,
PqhswFNoQbq1qKOEBp5u,train,16,16,0,helmet_loose=16,helmet_loose=16,,,,0,unchanged,
Pto3IbY2BV6RjJJsxw4T,train,1,1,0,helmet_loose=1,helmet_loose=1,,,,0,unchanged,
QUQENHzkWEHi5igbSpA1,valid,2,2,0,helmet_on_head=1;person=1,helmet_on_head=1;person=1,,,,0,unchanged,
QVvTSJRWlcfwVnFYCOJ9,train,2,2,0,person=1;vest_on_body=1,person=1;vest_on_body=1,,,,0,unchanged,
QYjn7wMnjUSLcCSRwwn1,train,2,2,0,person=2,person=2,,,,0,unchanged,
QiKJqc8mjFL8EnIf105y,train,1,1,0,person=1,person=1,,,,0,unchanged,
QmjHa7u0ZQG0cE5HadWX,train,1,1,0,person=1,person=1,,,,0,unchanged,
R32m4IeILycIsDayiufx,train,2,2,0,person=1;vest_on_body=1,person=1;vest_on_body=1,,,,0,unchanged,
RGHYIrvH4ypjKeh0X9jI,test,8,8,0,person=7;vest_on_body=1,person=7;vest_on_body=1,,,,0,unchanged,
RKuAbxAitj0j4NzRD0Px,valid,5,5,0,helmet_on_head=1;person=2;vest_on_body=2,helmet_on_head=1;person=2;vest_on_body=2,,,,0,unchanged,
RL2s7RdAmeNec6fLrJez,train,9,9,0,helmet_loose=9,helmet_loose=9,,,,0,unchanged,
RRlPrUJXfRWGGJ6CeKIL,train,5,3,2,helmet_on_head=1;person=1;vest_on_body=3,helmet_on_head=1;person=1;vest_on_body=1,vest_on_body=3,vest_on_body=1,,0,added_and_removed,
RdJdZdkvlh1EvYQcyy98,train,2,2,0,person=1;vest_on_body=1,person=1;vest_on_body=1,,,,0,unchanged,
RpNbe3NA9Ewqpz10Tid7,test,5,5,0,helmet_on_head=1;person=2;vest_on_body=2,helmet_on_head=1;person=2;vest_on_body=2,,,,0,unchanged,
SA6z7RB5PM7Ij8AwZgp1,valid,3,3,0,helmet_on_head=1;person=1;vest_on_body=1,helmet_on_head=1;person=1;vest_on_body=1,,,,1,modified_in_place,
SAxTZz7s67P7PHgPiVQD,train,21,21,0,helmet_loose=1;helmet_on_head=4;person=10;vest_on_body=6,helmet_loose=1;helmet_on_head=4;person=10;vest_on_body=6,,,,4,modified_in_place,
SJJJI5U15RfnloEUpsCl,valid,1,1,0,person=1,person=1,,,,0,unchanged,
SOVx70YdnCwZQTD0yb1N,train,3,3,0,helmet_on_head=1;person=1;vest_on_body=1,helmet_on_head=1;person=1;vest_on_body=1,,,,0,unchanged,
