source_image_id,annotation_id,split,class,canonical_geometry_type,canonical_area_px,reconstructed_area_px,connected_components,component_rings,joined,hole_count,hole_pixels,thinness,adapter_point_count,mask_iou,dice,control_iou,merged_iou,join_loss,serialization_loss,absolute_area_error_px,relative_area_error,signed_relative_area_error,fp_pixels,fn_pixels,bbox_max_delta_px,reason_flags
0g77gkQGLuqJIxRBDCMC,29,train,person,CANONICAL_POLYGON,83887,84393,1,1,0,0,0,4.855795,47,0.992823561,0.996398859,0.990400530,0.990400530,0.000000000,-0.002423032,506,0.006031924,0.006031924,556,50,1.000,RASTER_BOUNDARY_DIFFERENCE
0g77gkQGLuqJIxRBDCMC,30,train,helmet_on_head,CANONICAL_POLYGON,14375,14545,1,1,0,0,0,5.222649,29,0.985445558,0.992669433,0.977320711,0.977320711,0.000000000,-0.008124847,170,0.011826087,0.011826087,191,21,0.000,RASTER_BOUNDARY_DIFFERENCE
0vIelRhK7EUfEcEMkBV0,43,train,vest_on_body,CANONICAL_RLE,160682,161376,4,4,1,0,0,9.271721,1181,0.986871734,0.993392495,1.000000000,0.997876093,0.002123907,0.011004359,694,0.004319090,0.004319090,1411,717,1.000,MULTI_COMPONENT_APPROXIMATION|COMPONENT_JOIN_APPROXIMATION
0vIelRhK7EUfEcEMkBV0,44,train,vest_on_body,CANONICAL_RLE,161147,161356,1,1,0,0,0,8.708206,1358,0.989678446,0.994812451,1.000000000,1.000000000,0.000000000,0.010321554,209,0.001296952,0.001296952,941,732,1.000,SERIALIZATION_ONLY
0vIelRhK7EUfEcEMkBV0,45,train,vest_on_body,CANONICAL_RLE,25846,26067,2,2,1,0,0,7.047635,335,0.970955617,0.985263807,1.000000000,0.993694733,0.006305267,0.022739116,221,0.008550646,0.008550646,493,272,1.000,MULTI_COMPONENT_APPROXIMATION|COMPONENT_JOIN_APPROXIMATION
0vIelRhK7EUfEcEMkBV0,46,train,helmet_on_head,CANONICAL_RLE,39297,39345,1,1,0,0,0,5.556763,470,0.988067851,0.993998118,1.000000000,1.000000000,0.000000000,0.011932149,48,0.001221467,0.001221467,260,212,1.000,SERIALIZATION_ONLY
0vIelRhK7EUfEcEMkBV0,47,train,helmet_on_head,CANONICAL_RLE,38844,38841,1,1,0,1,4,5.659260,424,0.984848872,0.992366609,0.999897035,0.999897035,0.000000000,0.015048163,3,0.000077232,-0.000077232,295,298,1.000,RASTER_BOUNDARY_DIFFERENCE|HOLE_FILL_APPROXIMATION
0vIelRhK7EUfEcEMkBV0,48,train,helmet_on_head,CANONICAL_RLE,7769,7753,1,1,0,0,0,4.674360,166,0.965805471,0.982605334,1.000000000,1.000000000,0.000000000,0.034194529,16,0.002059467,-0.002059467,127,143,1.000,SERIALIZATION_ONLY
0vIelRhK7EUfEcEMkBV0,49,train,person,CANONICAL_RLE,333860,334076,1,1,0,0,0,5.170633,889,0.995977779,0.997984837,1.000000000,1.000000000,0.000000000,0.004022221,216,0.000646978,0.000646978,781,565,1.000,SERIALIZATION_ONLY
0vIelRhK7EUfEcEMkBV0,50,train,person,CANONICAL_RLE,336280,336536,1,1,0,0,0,5.405246,1102,0.995148654,0.997568429,1.000000000,1.000000000,0.000000000,0.004851346,256,0.000761270,0.000761270,946,690,1.000,SERIALIZATION_ONLY
0vIelRhK7EUfEcEMkBV0,51,train,person,CANONICAL_RLE,141403,141841,1,1,0,4,254,8.757319,1395,0.987537717,0.993729788,0.998206936,0.998206936,0.000000000,0.010669220,438,0.003097530,0.003097530,1107,669,1.000,RASTER_BOUNDARY_DIFFERENCE|HOLE_FILL_APPROXIMATION
1BVaqcupKpVSmlh5tncK,52,train,helmet_loose,CANONICAL_RLE,550496,550547,1,1,0,0,0,3.833114,1187,0.997809934,0.998903767,1.000000000,1.000000000,0.000000000,0.002190066,51,0.000092644,0.000092644,629,578,1.000,SERIALIZATION_ONLY
1XJO4jpZ1EjuFK7M5WzU,53,train,helmet_loose,CANONICAL_POLYGON,687041,688336,1,1,0,0,0,3.891499,67,0.997869040,0.998933383,0.997338085,0.997338085,0.000000000,-0.000530955,1295,0.001884895,0.001884895,1381,86,1.000,RASTER_BOUNDARY_DIFFERENCE
1zBF8eW6TRm4IBAb3Kwv,57,train,person,CANONICAL_POLYGON,41589,41909,1,1,0,0,0,5.733402,45,0.991176611,0.995568756,0.986209679,0.986209679,0.000000000,-0.004966932,320,0.007694342,0.007694342,345,25,1.000,RASTER_BOUNDARY_DIFFERENCE
1zBF8eW6TRm4IBAb3Kwv,58,train,person,CANONICAL_POLYGON,22599,23057,1,1,0,0,0,4.777994,38,0.979706877,0.989749431,0.982362164,0.982362164,0.000000000,0.002655286,458,0.020266383,0.020266383,463,5,1.000,RASTER_BOUNDARY_DIFFERENCE
1zBF8eW6TRm4IBAb3Kwv,59,train,person,CANONICAL_POLYGON,11838,12124,1,1,0,0,0,5.544780,33,0.974293483,0.986979384,0.975074282,0.975074282,0.000000000,0.000780799,286,0.024159486,0.024159486,299,13,1.000,RASTER_BOUNDARY_DIFFERENCE
1zBF8eW6TRm4IBAb3Kwv,60,train,person,CANONICAL_POLYGON,33752,34207,1,1,0,0,0,6.692510,45,0.986001929,0.992951633,0.981775306,0.981775306,0.000000000,-0.004226622,455,0.013480683,0.013480683,467,12,1.000,RASTER_BOUNDARY_DIFFERENCE
2estUvSXu4usdh4plcAm,63,train,helmet_loose,CANONICAL_POLYGON,80877,81755,1,1,0,0,0,4.300069,44,0.989090286,0.994515225,0.991961020,0.991961020,0.000000000,0.002870734,878,0.010855991,0.010855991,885,7,1.000,RASTER_BOUNDARY_DIFFERENCE
2estUvSXu4usdh4plcAm,64,train,helmet_on_head,CANONICAL_POLYGON,18492,18806,1,1,0,0,0,4.028168,25,0.983092301,0.991474074,0.984748294,0.984748294,0.000000000,0.001655992,314,0.016980316,0.016980316,316,2,1.000,RASTER_BOUNDARY_DIFFERENCE
2estUvSXu4usdh4plcAm,65,train,helmet_on_head,CANONICAL_POLYGON,23706,24077,1,1,0,0,0,4.136326,22,0.984426264,0.992152021,0.985139860,0.985139860,0.000000000,0.000713597,371,0.015650046,0.015650046,373,2,1.000,RASTER_BOUNDARY_DIFFERENCE
2estUvSXu4usdh4plcAm,66,train,vest_on_body,CANONICAL_RLE,100789,100959,4,3,1,0,0,9.064704,1257,0.984556212,0.992218015,0.999980157,0.999038500,0.000941657,0.014482287,170,0.001686692,0.001686692,870,700,1.000,RASTER_BOUNDARY_DIFFERENCE|MULTI_COMPONENT_APPROXIMATION|COMPONENT_JOIN_APPROXIMATION
2estUvSXu4usdh4plcAm,67,train,vest_on_body,CANONICAL_RLE,33061,33186,2,2,1,0,0,9.708178,760,0.972458763,0.986037104,1.000000000,0.998339171,0.001660829,0.025880409,125,0.003780890,0.003780890,525,400,1.000,MULTI_COMPONENT_APPROXIMATION|COMPONENT_JOIN_APPROXIMATION
2estUvSXu4usdh4plcAm,68,train,vest_on_body,CANONICAL_RLE,44175,44329,2,2,1,0,0,7.877042,621,0.979733811,0.989763175,1.000000000,0.998779082,0.001220918,0.019045271,154,0.003486135,0.003486135,530,376,1.000,MULTI_COMPONENT_APPROXIMATION|COMPONENT_JOIN_APPROXIMATION
2estUvSXu4usdh4plcAm,69,train,person,CANONICAL_RLE,315376,315351,1,1,0,0,0,6.238047,1400,0.994633347,0.997309454,1.000000000,1.000000000,0.000000000,0.005366653,25,0.000079270,-0.000079270,836,861,1.000,SERIALIZATION_ONLY
2estUvSXu4usdh4plcAm,70,train,person,CANONICAL_RLE,128623,129365,1,1,0,1,635,5.116630,803,0.988086339,0.994007473,0.995087345,0.995087345,0.000000000,0.007001005,742,0.005768797,0.005768797,1144,402,1.000,RASTER_BOUNDARY_DIFFERENCE|HOLE_FILL_APPROXIMATION
2estUvSXu4usdh4plcAm,71,train,person,CANONICAL_RLE,95654,95711,1,1,0,1,29,5.942225,647,0.990503334,0.995229013,0.999696916,0.999696916,0.000000000,0.009193582,57,0.000595898,0.000595898,485,428,1.000,RASTER_BOUNDARY_DIFFERENCE|HOLE_FILL_APPROXIMATION
2estUvSXu4usdh4plcAm,72,train,person,CANONICAL_RLE,101298,101818,2,2,1,2,387,6.625134,805,0.985066750,0.992477205,0.996194129,0.995626235,0.000567894,0.010559485,520,0.005133369,0.005133369,1024,504,1.000,RASTER_BOUNDARY_DIFFERENCE|MULTI_COMPONENT_APPROXIMATION|COMPONENT_JOIN_APPROXIMATION|HOLE_FILL_APPROXIMATION
2estUvSXu4usdh4plcAm,73,train,person,CANONICAL_RLE,115702,124407,1,1,0,1,8649,5.248713,653,0.924212433,0.960613721,0.930446880,0.930446880,0.000000000,0.006234447,8705,0.075236383,0.075236383,9081,376,1.000,RASTER_BOUNDARY_DIFFERENCE|HOLE_FILL_APPROXIMATION
2qD9FzEoqf4Rsihf6kf7,74,train,person,CANONICAL_POLYGON,560669,562378,1,1,0,0,0,4.914781,91,0.996787139,0.998390985,0.996595235,0.996595235,0.000000000,-0.000191904,1709,0.003048144,0.003048144,1758,49,1.000,RASTER_BOUNDARY_DIFFERENCE
2qD9FzEoqf4Rsihf6kf7,75,train,vest_on_body,CANONICAL_POLYGON,240282,241593,1,1,0,0,0,5.605172,73,0.994350633,0.997167315,0.993961942,0.993961942,0.000000000,-0.000388691,1311,0.005456089,0.005456089,1338,27,1.000,RASTER_BOUNDARY_DIFFERENCE
3INKyAoeOEbPQKuxINbX,100,train,person,CANONICAL_RLE,12171,12201,1,1,0,0,0,5.311997,225,0.979692958,0.989742327,1.000000000,1.000000000,0.000000000,0.020307042,30,0.002464876,0.002464876,140,110,1.000,SERIALIZATION_ONLY
3INKyAoeOEbPQKuxINbX,101,train,person,CANONICAL_RLE,22772,22798,1,1,0,0,0,4.349505,272,0.984842545,0.992363397,1.000000000,1.000000000,0.000000000,0.015157455,26,0.001141753,0.001141753,187,161,1.000,SERIALIZATION_ONLY
3INKyAoeOEbPQKuxINbX,102,train,person,CANONICAL_RLE,14818,14822,1,1,0,0,0,5.028979,255,0.982078374,0.990958165,1.000000000,1.000000000,0.000000000,0.017921626,4,0.000269942,0.000269942,136,132,1.000,SERIALIZATION_ONLY
3INKyAoeOEbPQKuxINbX,103,train,person,CANONICAL_RLE,21947,21962,1,1,0,0,0,4.519411,260,0.986113624,0.993008267,1.000000000,1.000000000,0.000000000,0.013886376,15,0.000683465,0.000683465,161,146,1.000,SERIALIZATION_ONLY
3INKyAoeOEbPQKuxINbX,104,train,person,CANONICAL_RLE,25851,25783,1,1,0,0,0,4.127240,232,0.986992996,0.993453926,1.000000000,1.000000000,0.000000000,0.013007004,68,0.002630459,-0.002630459,135,203,1.000,SERIALIZATION_ONLY
3INKyAoeOEbPQKuxINbX,80,train,vest_on_body,CANONICAL_RLE,239461,239549,1,1,0,0,0,4.274282,675,0.995991433,0.997991691,1.000000000,1.000000000,0.000000000,0.004008567,88,0.000367492,0.000367492,525,437,1.000,SERIALIZATION_ONLY
3INKyAoeOEbPQKuxINbX,81,train,vest_on_body,CANONICAL_RLE,3512,3519,1,1,0,0,0,4.889539,116,0.963418040,0.981368226,1.000000000,1.000000000,0.000000000,0.036581960,7,0.001993166,0.001993166,69,62,1.000,SERIALIZATION_ONLY
3INKyAoeOEbPQKuxINbX,82,train,vest_on_body,CANONICAL_RLE,8289,8276,1,1,0,0,0,3.977741,150,0.977910448,0.988831874,1.000000000,1.000000000,0.000000000,0.022089552,13,0.001568344,-0.001568344,86,99,1.000,SERIALIZATION_ONLY
3INKyAoeOEbPQKuxINbX,83,train,vest_on_body,CANONICAL_RLE,9577,9534,1,1,0,0,0,4.103960,130,0.982674551,0.991261577,1.000000000,1.000000000,0.000000000,0.017325449,43,0.004489924,-0.004489924,62,105,1.000,SERIALIZATION_ONLY
3INKyAoeOEbPQKuxINbX,84,train,vest_on_body,CANONICAL_RLE,5347,5368,1,1,0,0,0,5.572851,178,0.969307113,0.984414372,1.000000000,1.000000000,0.000000000,0.030692887,21,0.003927436,0.003927436,94,73,1.000,SERIALIZATION_ONLY
3INKyAoeOEbPQKuxINbX,85,train,vest_on_body,CANONICAL_RLE,6023,6047,1,1,0,0,0,4.304531,127,0.982914408,0.991383596,1.000000000,1.000000000,0.000000000,0.017085592,24,0.003984725,0.003984725,64,40,1.000,SERIALIZATION_ONLY
3INKyAoeOEbPQKuxINbX,86,train,vest_on_body,CANONICAL_RLE,6456,6383,1,1,0,0,0,4.650713,98,0.982550957,0.991198691,1.000000000,1.000000000,0.000000000,0.017449043,73,0.011307311,-0.011307311,20,93,1.000,SERIALIZATION_ONLY
3INKyAoeOEbPQKuxINbX,87,train,person,CANONICAL_RLE,8562,8575,1,1,0,0,0,4.658740,180,0.970676173,0.985119916,1.000000000,1.000000000,0.000000000,0.029323827,13,0.001518337,0.001518337,134,121,1.000,SERIALIZATION_ONLY
3INKyAoeOEbPQKuxINbX,88,train,person,CANONICAL_RLE,10763,10747,1,1,0,0,0,5.397759,212,0.976658702,0.988191539,1.000000000,1.000000000,0.000000000,0.023341298,16,0.001486574,-0.001486574,119,135,1.000,SERIALIZATION_ONLY
3INKyAoeOEbPQKuxINbX,89,train,person,CANONICAL_RLE,425685,427271,1,1,0,3,1592,5.057865,1185,0.992133819,0.996051379,0.996274080,0.996274080,0.000000000,0.004140261,1586,0.003725760,0.003725760,2477,891,1.000,RASTER_BOUNDARY_DIFFERENCE|HOLE_FILL_APPROXIMATION
3INKyAoeOEbPQKuxINbX,90,train,person,CANONICAL_RLE,14036,14102,1,1,0,0,0,5.277150,215,0.981549296,0.990688748,1.000000000,1.000000000,0.000000000,0.018450704,66,0.004702194,0.004702194,164,98,1.000,SERIALIZATION_ONLY
3INKyAoeOEbPQKuxINbX,91,train,person,CANONICAL_RLE,14372,14459,1,1,0,1,236,6.242672,157,0.968927132,0.984218376,0.983844469,0.983844469,0.000000000,0.014917336,87,0.006053437,0.006053437,271,184,0.000,RASTER_BOUNDARY_DIFFERENCE|HOLE_FILL_APPROXIMATION
3INKyAoeOEbPQKuxINbX,92,train,person,CANONICAL_RLE,14347,14451,1,1,0,1,16,5.876078,259,0.977884615,0.988818668,0.998886027,0.998886027,0.000000000,0.021001411,104,0.007248902,0.007248902,213,109,1.000,RASTER_BOUNDARY_DIFFERENCE|HOLE_FILL_APPROXIMATION
3INKyAoeOEbPQKuxINbX,93,train,person,CANONICAL_RLE,8874,8841,1,1,0,0,0,6.113351,235,0.968770838,0.984137736,1.000000000,1.000000000,0.000000000,0.031229162,33,0.003718729,-0.003718729,124,157,1.000,SERIALIZATION_ONLY
3INKyAoeOEbPQKuxINbX,94,train,person,CANONICAL_RLE,17831,17875,1,1,0,0,0,4.786422,248,0.986978297,0.993446480,1.000000000,1.000000000,0.000000000,0.013021703,44,0.002467613,0.002467613,139,95,1.000,SERIALIZATION_ONLY
3INKyAoeOEbPQKuxINbX,95,train,person,CANONICAL_RLE,11160,11141,1,1,0,0,0,5.683165,210,0.976688530,0.988206807,1.000000000,1.000000000,0.000000000,0.023311470,19,0.001702509,-0.001702509,122,141,0.000,SERIALIZATION_ONLY
3INKyAoeOEbPQKuxINbX,96,train,person,CANONICAL_RLE,8385,8433,1,1,0,0,0,5.012335,171,0.971398429,0.985491735,1.000000000,1.000000000,0.000000000,0.028601571,48,0.005724508,0.005724508,146,98,1.000,SERIALIZATION_ONLY
3INKyAoeOEbPQKuxINbX,97,train,person,CANONICAL_RLE,17521,17479,1,1,0,0,0,5.599610,248,0.984014512,0.991942857,1.000000000,1.000000000,0.000000000,0.015985488,42,0.002397123,-0.002397123,120,162,1.000,SERIALIZATION_ONLY
3INKyAoeOEbPQKuxINbX,98,train,person,CANONICAL_RLE,19774,19728,1,1,0,0,0,4.553466,92,0.978364301,0.989063845,1.000000000,1.000000000,0.000000000,0.021635699,46,0.002326287,-0.002326287,193,239,1.000,SERIALIZATION_ONLY
3INKyAoeOEbPQKuxINbX,99,train,person,CANONICAL_RLE,13537,13440,1,1,0,0,0,4.997087,208,0.978221016,0.988990622,1.000000000,1.000000000,0.000000000,0.021778984,97,0.007165546,-0.007165546,100,197,1.000,SERIALIZATION_ONLY
3wdTWWyA3a9YrQ9EfLc9,106,train,vest_on_body,CANONICAL_RLE,1169136,1168614,1,1,0,0,0,4.297442,1132,0.997450372,0.998723559,1.000000000,1.000000000,0.000000000,0.002549628,522,0.000446484,-0.000446484,1231,1753,1.000,SERIALIZATION_ONLY
3wdTWWyA3a9YrQ9EfLc9,107,train,helmet_on_head,CANONICAL_RLE,362630,384930,1,1,0,1,22160,4.498863,1142,0.938969511,0.968524266,0.942410146,0.942410146,0.000000000,0.003440635,22300,0.061495188,0.061495188,22915,615,1.000,RASTER_BOUNDARY_DIFFERENCE|HOLE_FILL_APPROXIMATION
3wdTWWyA3a9YrQ9EfLc9,108,train,person,CANONICAL_RLE,130467,129779,1,1,0,0,0,6.970275,476,0.993412637,0.996695434,1.000000000,1.000000000,0.000000000,0.006587363,688,0.005273364,-0.005273364,86,774,1.000,SERIALIZATION_ONLY
3wdTWWyA3a9YrQ9EfLc9,109,train,person,CANONICAL_RLE,1799728,1799719,4,4,1,1,5,5.533306,2611,0.997628562,0.998812873,0.999997222,0.999907772,0.000089449,0.002279211,9,0.000005001,-0.000005001,2132,2141,1.000,RASTER_BOUNDARY_DIFFERENCE|MULTI_COMPONENT_APPROXIMATION|COMPONENT_JOIN_APPROXIMATION|HOLE_FILL_APPROXIMATION
4UEcuYsspsOsSV0XYgSR,110,train,helmet_loose,CANONICAL_RLE,634127,635443,1,1,0,30,1254,3.794907,1261,0.995865430,0.997928432,0.998026381,0.998026381,0.000000000,0.002160951,1316,0.002075294,0.002075294,1973,657,1.000,RASTER_BOUNDARY_DIFFERENCE|HOLE_FILL_APPROXIMATION
4XETInqs70Y4H9ry55k3,111,train,person,CANONICAL_POLYGON,35619,36080,1,1,0,0,0,5.745458,43,0.986452042,0.993179821,0.983603838,0.983603838,0.000000000,-0.002848204,461,0.012942531,0.012942531,475,14,1.000,RASTER_BOUNDARY_DIFFERENCE
4XETInqs70Y4H9ry55k3,112,train,vest_on_body,CANONICAL_POLYGON,12716,13064,2,1,0,0,0,4.703874,30,0.972456006,0.986035687,0.977519440,0.977519440,0.000000000,0.005063433,348,0.027367097,0.027367097,354,6,1.000,RASTER_BOUNDARY_DIFFERENCE|MULTI_COMPONENT_APPROXIMATION
4baqXpqm2eXB2CHZWkM9,114,train,person,CANONICAL_RLE,707,686,1,1,0,0,0,4.002577,44,0.900409277,0.947595118,1.000000000,1.000000000,0.000000000,0.099590723,21,0.029702970,-0.029702970,26,47,1.000,SERIALIZATION_ONLY|SMALL_MASK_SENSITIVITY
4baqXpqm2eXB2CHZWkM9,115,train,person,CANONICAL_RLE,30128,30136,1,1,0,0,0,5.422863,319,0.983673469,0.991769547,1.000000000,1.000000000,0.000000000,0.016326531,8,0.000265534,0.000265534,252,244,1.000,SERIALIZATION_ONLY
4baqXpqm2eXB2CHZWkM9,116,train,person,CANONICAL_RLE,18125,18163,1,1,0,0,0,6.006440,326,0.977871042,0.988811728,1.000000000,1.000000000,0.000000000,0.022128958,38,0.002096552,0.002096552,222,184,1.000,SERIALIZATION_ONLY
4baqXpqm2eXB2CHZWkM9,117,train,person,CANONICAL_RLE,1906,1922,1,1,0,0,0,4.131397,74,0.966101695,0.982758621,1.000000000,1.000000000,0.000000000,0.033898305,16,0.008394544,0.008394544,41,25,1.000,SERIALIZATION_ONLY
4baqXpqm2eXB2CHZWkM9,118,train,person,CANONICAL_RLE,7808,7888,1,1,0,0,0,4.779725,142,0.974091309,0.986875637,1.000000000,1.000000000,0.000000000,0.025908691,80,0.010245902,0.010245902,143,63,1.000,SERIALIZATION_ONLY
4ezyg6KhKI36ubNpMX1z,119,train,vest_on_body,CANONICAL_RLE,47621,47695,1,1,0,0,0,4.131319,271,0.991225871,0.995593604,1.000000000,1.000000000,0.000000000,0.008774129,74,0.001553936,0.001553936,247,173,1.000,SERIALIZATION_ONLY
4ezyg6KhKI36ubNpMX1z,120,train,helmet_on_head,CANONICAL_RLE,7416,7459,1,1,0,0,0,3.762925,156,0.980956186,0.990386555,1.000000000,1.000000000,0.000000000,0.019043814,43,0.005798274,0.005798274,93,50,1.000,SERIALIZATION_ONLY
4ezyg6KhKI36ubNpMX1z,121,train,person,CANONICAL_RLE,101227,101549,1,1,0,1,273,6.817543,719,0.986578233,0.993243776,0.997310345,0.997310345,0.000000000,0.010732112,322,0.003180970,0.003180970,846,524,1.000,RASTER_BOUNDARY_DIFFERENCE|HOLE_FILL_APPROXIMATION
5fj7MBBP6mq9NtLfV51m,122,train,person,CANONICAL_POLYGON,175959,177037,1,1,0,0,0,5.968515,81,0.993201581,0.996589196,0.992780334,0.992780334,0.000000000,-0.000421247,1078,0.006126427,0.006126427,1141,63,1.000,RASTER_BOUNDARY_DIFFERENCE
5fj7MBBP6mq9NtLfV51m,123,train,vest_on_body,CANONICAL_RLE,89296,89339,1,1,0,0,0,4.454570,447,0.992382248,0.996176561,1.000000000,1.000000000,0.000000000,0.007617752,43,0.000481545,0.000481545,363,320,1.000,SERIALIZATION_ONLY
5p4hDwmBcrn3EI04GmlA,124,train,person,CANONICAL_POLYGON,809378,812060,1,1,0,0,0,5.093054,109,0.996549771,0.998271904,0.996906352,0.996906352,0.000000000,0.000356581,2682,0.003313656,0.003313656,2742,60,1.000,RASTER_BOUNDARY_DIFFERENCE
5p4hDwmBcrn3EI04GmlA,125,train,helmet_on_head,CANONICAL_POLYGON,220755,221703,1,1,0,0,0,4.026288,51,0.995633995,0.997812222,0.995277061,0.995277061,0.000000000,-0.000356934,948,0.004294353,0.004294353,958,10,1.000,RASTER_BOUNDARY_DIFFERENCE
5p4hDwmBcrn3EI04GmlA,126,train,vest_on_body,CANONICAL_POLYGON,138875,139615,1,1,0,0,0,4.393427,60,0.994542564,0.997263816,0.994057421,0.994057421,0.000000000,-0.000485143,740,0.005328533,0.005328533,751,11,1.000,RASTER_BOUNDARY_DIFFERENCE
5p4hDwmBcrn3EI04GmlA,127,train,vest_on_body,CANONICAL_POLYGON,122561,123308,1,1,0,0,0,5.053501,67,0.993198437,0.996587614,0.992544571,0.992544571,0.000000000,-0.000653867,747,0.006094924,0.006094924,793,46,1.000,RASTER_BOUNDARY_DIFFERENCE
5tvMIxMJkb5Hp9bD8hBw,128,train,person,CANONICAL_POLYGON,290185,291258,1,1,0,0,0,5.556733,97,0.995808905,0.997900052,0.994397836,0.994397836,0.000000000,-0.001411069,1073,0.003697641,0.003697641,1147,74,1.000,RASTER_BOUNDARY_DIFFERENCE
5xqkoD8kcbQ7JWIll2KF,129,train,vest_on_body,CANONICAL_RLE,2344,2360,1,1,0,0,0,5.055312,93,0.952677460,0.975765306,1.000000000,1.000000000,0.000000000,0.047322540,16,0.006825939,0.006825939,65,49,0.000,SERIALIZATION_ONLY
5xqkoD8kcbQ7JWIll2KF,130,train,vest_on_body,CANONICAL_RLE,2183,2205,1,1,0,0,0,4.525404,92,0.958928571,0.979033728,1.000000000,1.000000000,0.000000000,0.041071429,22,0.010077874,0.010077874,57,35,1.000,SERIALIZATION_ONLY
5xqkoD8kcbQ7JWIll2KF,131,train,vest_on_body,CANONICAL_RLE,2124,2124,1,1,0,0,0,6.055856,102,0.936189608,0.967043315,1.000000000,1.000000000,0.000000000,0.063810392,0,0.000000000,0.000000000,70,70,1.000,SERIALIZATION_ONLY
