execution_position,execution_pass,benchmark_rank,source_image_id,model,timing_type,count,mean,median,std,min,max
8,PASS_A_DETECTOR_FIRST,4,u4uGaDsy2tThEpOEs5TM,D2,MODEL_INFERENCE_LATENCY_MS,30,9.86429,9.844,0.27565,9.4513,10.5788
8,PASS_A_DETECTOR_FIRST,4,u4uGaDsy2tThEpOEs5TM,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,13.756377,13.69135,0.246883,13.3273,14.317
9,PASS_A_DETECTOR_FIRST,4,u4uGaDsy2tThEpOEs5TM,S1,MODEL_INFERENCE_LATENCY_MS,30,11.203867,11.15235,0.204069,10.9507,11.8737
9,PASS_A_DETECTOR_FIRST,4,u4uGaDsy2tThEpOEs5TM,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,16.763263,16.6824,0.585356,14.7629,17.8739
10,PASS_A_DETECTOR_FIRST,5,NSxOF60pUyiloAjZa1zY,D2,MODEL_INFERENCE_LATENCY_MS,30,4.542353,4.53435,0.089361,4.3871,4.7218
10,PASS_A_DETECTOR_FIRST,5,NSxOF60pUyiloAjZa1zY,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,7.086783,7.02065,0.228121,6.8633,7.8783
11,PASS_A_DETECTOR_FIRST,5,NSxOF60pUyiloAjZa1zY,S1,MODEL_INFERENCE_LATENCY_MS,30,5.227657,5.2384,0.112432,5.0349,5.5005
11,PASS_A_DETECTOR_FIRST,5,NSxOF60pUyiloAjZa1zY,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,10.402877,8.5994,3.361952,8.3292,17.0472
12,PASS_A_DETECTOR_FIRST,6,eK6ftnVVMa7WC57HMKWj,D2,MODEL_INFERENCE_LATENCY_MS,30,4.635947,4.62355,0.116375,4.4736,5.0614
12,PASS_A_DETECTOR_FIRST,6,eK6ftnVVMa7WC57HMKWj,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,7.754447,7.3911,1.296938,7.0269,13.0711
13,PASS_A_DETECTOR_FIRST,6,eK6ftnVVMa7WC57HMKWj,S1,MODEL_INFERENCE_LATENCY_MS,30,11.35859,11.3174,0.290547,10.8732,11.8722
13,PASS_A_DETECTOR_FIRST,6,eK6ftnVVMa7WC57HMKWj,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,13.66266,15.86155,3.587182,8.3372,16.7625
14,PASS_A_DETECTOR_FIRST,7,o0SiQwUZ5uRlCXASCtiR,D2,MODEL_INFERENCE_LATENCY_MS,30,4.49911,4.5073,0.096886,4.2577,4.6826
14,PASS_A_DETECTOR_FIRST,7,o0SiQwUZ5uRlCXASCtiR,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,7.79336,7.6427,0.649044,7.0462,9.2189
15,PASS_A_DETECTOR_FIRST,7,o0SiQwUZ5uRlCXASCtiR,S1,MODEL_INFERENCE_LATENCY_MS,30,5.524907,5.2569,0.73746,5.0315,7.7203
15,PASS_A_DETECTOR_FIRST,7,o0SiQwUZ5uRlCXASCtiR,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,9.969573,8.39485,2.831462,8.0274,16.6404
16,PASS_A_DETECTOR_FIRST,8,CDbWzCeakwV73xXd2qlq,D2,MODEL_INFERENCE_LATENCY_MS,30,4.66023,4.66655,0.12648,4.3986,5.0093
16,PASS_A_DETECTOR_FIRST,8,CDbWzCeakwV73xXd2qlq,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,7.423277,7.2602,0.619093,7.0044,10.4908
17,PASS_A_DETECTOR_FIRST,8,CDbWzCeakwV73xXd2qlq,S1,MODEL_INFERENCE_LATENCY_MS,30,5.369777,5.3638,0.098759,5.1949,5.643
17,PASS_A_DETECTOR_FIRST,8,CDbWzCeakwV73xXd2qlq,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,8.534723,8.5408,0.161581,8.2608,8.921
18,PASS_A_DETECTOR_FIRST,9,7VMQ21x6vDuAvoY6Ku2F,D2,MODEL_INFERENCE_LATENCY_MS,30,4.446677,4.4422,0.071875,4.3165,4.5761
18,PASS_A_DETECTOR_FIRST,9,7VMQ21x6vDuAvoY6Ku2F,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,7.695597,7.23125,1.600035,7.0121,14.4424
19,PASS_A_DETECTOR_FIRST,9,7VMQ21x6vDuAvoY6Ku2F,S1,MODEL_INFERENCE_LATENCY_MS,30,11.31942,11.3049,0.259515,10.8104,12.0425
19,PASS_A_DETECTOR_FIRST,9,7VMQ21x6vDuAvoY6Ku2F,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,11.589623,10.2154,2.887011,9.9236,18.1315
20,PASS_A_DETECTOR_FIRST,10,ahfMFVQYlwiC5qDCiYTe,D2,MODEL_INFERENCE_LATENCY_MS,30,4.43157,4.43925,0.071837,4.2431,4.5714
20,PASS_A_DETECTOR_FIRST,10,ahfMFVQYlwiC5qDCiYTe,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,7.095287,6.93435,0.443629,6.8227,8.7441
21,PASS_A_DETECTOR_FIRST,10,ahfMFVQYlwiC5qDCiYTe,S1,MODEL_INFERENCE_LATENCY_MS,30,5.32949,5.33005,0.11952,5.0997,5.7523
21,PASS_A_DETECTOR_FIRST,10,ahfMFVQYlwiC5qDCiYTe,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,8.292447,8.08545,0.502824,7.8124,10.0481
22,PASS_A_DETECTOR_FIRST,11,nXwfWz2We6dOnsyzeEno,D2,MODEL_INFERENCE_LATENCY_MS,30,4.470843,4.4612,0.084727,4.3359,4.623
22,PASS_A_DETECTOR_FIRST,11,nXwfWz2We6dOnsyzeEno,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,7.458383,7.3013,0.70133,7.0269,10.7249
23,PASS_A_DETECTOR_FIRST,11,nXwfWz2We6dOnsyzeEno,S1,MODEL_INFERENCE_LATENCY_MS,30,11.413863,11.3275,0.3044,10.9934,12.0226
23,PASS_A_DETECTOR_FIRST,11,nXwfWz2We6dOnsyzeEno,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,15.535787,18.09165,3.481835,10.3956,18.6226
24,PASS_A_DETECTOR_FIRST,12,3LUOWEww9aCx2Cx4B38y,D2,MODEL_INFERENCE_LATENCY_MS,30,4.5044,4.5034,0.075437,4.3599,4.6396
24,PASS_A_DETECTOR_FIRST,12,3LUOWEww9aCx2Cx4B38y,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,8.05167,6.5614,2.809404,6.3899,14.4351
25,PASS_A_DETECTOR_FIRST,12,3LUOWEww9aCx2Cx4B38y,S1,MODEL_INFERENCE_LATENCY_MS,30,5.21524,5.21715,0.084294,4.9976,5.4337
25,PASS_A_DETECTOR_FIRST,12,3LUOWEww9aCx2Cx4B38y,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,8.220093,8.07555,0.427784,7.7773,9.8042
26,PASS_A_DETECTOR_FIRST,13,d1LRdQbKYoIKVWX76Mj1,D2,MODEL_INFERENCE_LATENCY_MS,30,5.426297,4.4515,2.174829,4.2321,10.8349
26,PASS_A_DETECTOR_FIRST,13,d1LRdQbKYoIKVWX76Mj1,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,12.35374,13.72155,2.797668,7.1576,14.6789
27,PASS_A_DETECTOR_FIRST,13,d1LRdQbKYoIKVWX76Mj1,S1,MODEL_INFERENCE_LATENCY_MS,30,6.527253,5.26275,2.470438,5.1387,11.5439
27,PASS_A_DETECTOR_FIRST,13,d1LRdQbKYoIKVWX76Mj1,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,9.284933,8.96085,1.244008,8.5657,14.7868
28,PASS_A_DETECTOR_FIRST,14,yE5PdkrjifxbV7QoD5xc,D2,MODEL_INFERENCE_LATENCY_MS,30,9.621073,9.60395,0.231681,9.2815,10.1197
28,PASS_A_DETECTOR_FIRST,14,yE5PdkrjifxbV7QoD5xc,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,11.069313,13.3137,3.235875,6.9941,15.7902
29,PASS_A_DETECTOR_FIRST,14,yE5PdkrjifxbV7QoD5xc,S1,MODEL_INFERENCE_LATENCY_MS,30,5.439833,5.32445,0.498123,5.1029,7.9574
29,PASS_A_DETECTOR_FIRST,14,yE5PdkrjifxbV7QoD5xc,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,8.9045,8.67245,0.754425,8.0854,10.7905
30,PASS_A_DETECTOR_FIRST,15,9uyGbpRuvoK6FWsiIhGx,D2,MODEL_INFERENCE_LATENCY_MS,30,9.8704,9.87455,0.175657,9.5303,10.2041
30,PASS_A_DETECTOR_FIRST,15,9uyGbpRuvoK6FWsiIhGx,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,11.971183,13.75355,3.23888,7.1377,16.3404
31,PASS_A_DETECTOR_FIRST,15,9uyGbpRuvoK6FWsiIhGx,S1,MODEL_INFERENCE_LATENCY_MS,30,11.187253,11.13905,0.222896,10.8837,11.8602
31,PASS_A_DETECTOR_FIRST,15,9uyGbpRuvoK6FWsiIhGx,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,15.55029,15.44765,0.332496,15.0793,16.3682
32,PASS_A_DETECTOR_FIRST,16,qm0fl8ee3HpSLSCrrqDG,D2,MODEL_INFERENCE_LATENCY_MS,30,4.446673,4.4452,0.083021,4.3068,4.6119
32,PASS_A_DETECTOR_FIRST,16,qm0fl8ee3HpSLSCrrqDG,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,7.464233,7.20045,1.299019,7.0544,14.3129
33,PASS_A_DETECTOR_FIRST,16,qm0fl8ee3HpSLSCrrqDG,S1,MODEL_INFERENCE_LATENCY_MS,30,11.00976,10.9584,0.300956,10.5496,11.8859
33,PASS_A_DETECTOR_FIRST,16,qm0fl8ee3HpSLSCrrqDG,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,10.708077,8.8041,3.175333,8.4756,16.1902
34,PASS_A_DETECTOR_FIRST,17,HvvG43BEgtvO5Az8qBX5,D2,MODEL_INFERENCE_LATENCY_MS,30,4.516433,4.51935,0.080384,4.3834,4.6667
34,PASS_A_DETECTOR_FIRST,17,HvvG43BEgtvO5Az8qBX5,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,8.33049,7.23805,2.333236,7.0771,14.1628
35,PASS_A_DETECTOR_FIRST,17,HvvG43BEgtvO5Az8qBX5,S1,MODEL_INFERENCE_LATENCY_MS,30,5.211987,5.22385,0.066829,5.0759,5.3314
35,PASS_A_DETECTOR_FIRST,17,HvvG43BEgtvO5Az8qBX5,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,9.909523,9.86965,0.185969,9.6707,10.3863
36,PASS_A_DETECTOR_FIRST,18,hsfBHYazMXnS3WJlQzR7,D2,MODEL_INFERENCE_LATENCY_MS,30,5.182163,4.49195,1.864103,4.2395,10.3704
36,PASS_A_DETECTOR_FIRST,18,hsfBHYazMXnS3WJlQzR7,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,11.10926,13.70955,3.354719,7.0757,14.6944
37,PASS_A_DETECTOR_FIRST,18,hsfBHYazMXnS3WJlQzR7,S1,MODEL_INFERENCE_LATENCY_MS,30,11.336073,11.35845,0.245275,10.8238,11.8062
37,PASS_A_DETECTOR_FIRST,18,hsfBHYazMXnS3WJlQzR7,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,10.033063,9.2497,2.252688,8.9569,17.252
38,PASS_A_DETECTOR_FIRST,19,EdR5Rau43iqKaPKbjsHM,D2,MODEL_INFERENCE_LATENCY_MS,30,4.462503,4.4792,0.090102,4.2155,4.6345
38,PASS_A_DETECTOR_FIRST,19,EdR5Rau43iqKaPKbjsHM,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,7.30656,7.253,0.187303,7.0054,7.8064
39,PASS_A_DETECTOR_FIRST,19,EdR5Rau43iqKaPKbjsHM,S1,MODEL_INFERENCE_LATENCY_MS,30,5.240087,5.2232,0.156112,5.031,5.9055
39,PASS_A_DETECTOR_FIRST,19,EdR5Rau43iqKaPKbjsHM,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,16.133447,15.97765,0.618424,13.8243,17.4446
40,PASS_B_SEGMENTER_FIRST,0,L51HLb9pTcXWg0hlY2eI,S1,MODEL_INFERENCE_LATENCY_MS,30,11.385713,11.37255,0.242535,11.0058,11.9115
40,PASS_B_SEGMENTER_FIRST,0,L51HLb9pTcXWg0hlY2eI,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,15.86698,15.8643,0.365725,14.9531,16.7247
41,PASS_B_SEGMENTER_FIRST,0,L51HLb9pTcXWg0hlY2eI,D2,MODEL_INFERENCE_LATENCY_MS,30,9.554887,9.5093,0.215424,9.2307,10.3768
41,PASS_B_SEGMENTER_FIRST,0,L51HLb9pTcXWg0hlY2eI,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,13.536813,13.5909,0.660164,10.4961,14.2128
42,PASS_B_SEGMENTER_FIRST,1,feq9UuxoWtVRBPUnMr4G,S1,MODEL_INFERENCE_LATENCY_MS,30,10.901267,10.77145,0.349455,10.5265,11.7954
42,PASS_B_SEGMENTER_FIRST,1,feq9UuxoWtVRBPUnMr4G,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,16.07766,16.0747,0.463929,14.6885,17.0404
43,PASS_B_SEGMENTER_FIRST,1,feq9UuxoWtVRBPUnMr4G,D2,MODEL_INFERENCE_LATENCY_MS,30,4.502037,4.4923,0.072922,4.3554,4.6339
43,PASS_B_SEGMENTER_FIRST,1,feq9UuxoWtVRBPUnMr4G,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,7.105833,7.068,0.143188,6.9437,7.5893
44,PASS_B_SEGMENTER_FIRST,2,pMftFzW2M3bmHHBJOTG2,S1,MODEL_INFERENCE_LATENCY_MS,30,5.35316,5.27935,0.175411,5.1356,5.7573
44,PASS_B_SEGMENTER_FIRST,2,pMftFzW2M3bmHHBJOTG2,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,8.14805,8.13565,0.136218,7.9149,8.543
45,PASS_B_SEGMENTER_FIRST,2,pMftFzW2M3bmHHBJOTG2,D2,MODEL_INFERENCE_LATENCY_MS,30,4.541083,4.52685,0.080201,4.3826,4.7095
45,PASS_B_SEGMENTER_FIRST,2,pMftFzW2M3bmHHBJOTG2,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,6.33297,6.2976,0.144299,6.1698,6.8732
46,PASS_B_SEGMENTER_FIRST,3,sCBw5cHMoREKazVjQfkj,S1,MODEL_INFERENCE_LATENCY_MS,30,5.24775,5.22755,0.112148,5.0732,5.5759
46,PASS_B_SEGMENTER_FIRST,3,sCBw5cHMoREKazVjQfkj,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,15.99228,15.7349,0.790512,15.4448,19.4019
47,PASS_B_SEGMENTER_FIRST,3,sCBw5cHMoREKazVjQfkj,D2,MODEL_INFERENCE_LATENCY_MS,30,4.44317,4.44955,0.07929,4.2833,4.6253
47,PASS_B_SEGMENTER_FIRST,3,sCBw5cHMoREKazVjQfkj,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,7.08361,7.062,0.173432,6.8111,7.6704
48,PASS_B_SEGMENTER_FIRST,4,u4uGaDsy2tThEpOEs5TM,S1,MODEL_INFERENCE_LATENCY_MS,30,5.15651,5.16385,0.082334,4.9763,5.2947
48,PASS_B_SEGMENTER_FIRST,4,u4uGaDsy2tThEpOEs5TM,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,9.761953,9.1606,1.975609,8.8446,17.319
49,PASS_B_SEGMENTER_FIRST,4,u4uGaDsy2tThEpOEs5TM,D2,MODEL_INFERENCE_LATENCY_MS,30,9.740173,9.6935,0.181639,9.4775,10.1142
49,PASS_B_SEGMENTER_FIRST,4,u4uGaDsy2tThEpOEs5TM,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,13.490857,13.72615,1.405208,7.1602,14.6261
50,PASS_B_SEGMENTER_FIRST,5,NSxOF60pUyiloAjZa1zY,S1,MODEL_INFERENCE_LATENCY_MS,30,7.929207,8.04005,2.548973,5.251,12.2581
50,PASS_B_SEGMENTER_FIRST,5,NSxOF60pUyiloAjZa1zY,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,16.061903,16.00625,0.406589,15.3043,17.0084
51,PASS_B_SEGMENTER_FIRST,5,NSxOF60pUyiloAjZa1zY,D2,MODEL_INFERENCE_LATENCY_MS,30,6.645593,4.6616,2.742423,4.462,11.1425
51,PASS_B_SEGMENTER_FIRST,5,NSxOF60pUyiloAjZa1zY,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,11.151323,13.41815,3.063638,7.0098,14.9786
52,PASS_B_SEGMENTER_FIRST,6,eK6ftnVVMa7WC57HMKWj,S1,MODEL_INFERENCE_LATENCY_MS,30,11.08738,11.0919,0.253416,10.5671,11.5887
52,PASS_B_SEGMENTER_FIRST,6,eK6ftnVVMa7WC57HMKWj,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,14.62462,16.2895,3.218638,8.7895,17.112
53,PASS_B_SEGMENTER_FIRST,6,eK6ftnVVMa7WC57HMKWj,D2,MODEL_INFERENCE_LATENCY_MS,30,9.821513,9.85795,0.547849,7.725,10.9466
53,PASS_B_SEGMENTER_FIRST,6,eK6ftnVVMa7WC57HMKWj,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,13.409153,13.8261,1.192702,10.6402,14.5807
54,PASS_B_SEGMENTER_FIRST,7,o0SiQwUZ5uRlCXASCtiR,S1,MODEL_INFERENCE_LATENCY_MS,30,7.659947,6.87555,1.936889,5.6008,11.4047
54,PASS_B_SEGMENTER_FIRST,7,o0SiQwUZ5uRlCXASCtiR,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,8.092287,8.03435,0.273821,7.8245,9.1411
55,PASS_B_SEGMENTER_FIRST,7,o0SiQwUZ5uRlCXASCtiR,D2,MODEL_INFERENCE_LATENCY_MS,30,4.388333,4.3825,0.095579,4.1965,4.6083
55,PASS_B_SEGMENTER_FIRST,7,o0SiQwUZ5uRlCXASCtiR,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,6.988313,6.9564,0.169643,6.7281,7.4603
56,PASS_B_SEGMENTER_FIRST,8,CDbWzCeakwV73xXd2qlq,S1,MODEL_INFERENCE_LATENCY_MS,30,5.24357,5.15855,0.216671,4.9866,5.788
56,PASS_B_SEGMENTER_FIRST,8,CDbWzCeakwV73xXd2qlq,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,8.263553,8.2423,0.194197,7.9827,8.8459
57,PASS_B_SEGMENTER_FIRST,8,CDbWzCeakwV73xXd2qlq,D2,MODEL_INFERENCE_LATENCY_MS,30,9.98153,10.04195,0.548137,7.735,10.9645
57,PASS_B_SEGMENTER_FIRST,8,CDbWzCeakwV73xXd2qlq,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,7.14288,7.0025,0.667651,6.7667,10.5943
58,PASS_B_SEGMENTER_FIRST,9,7VMQ21x6vDuAvoY6Ku2F,S1,MODEL_INFERENCE_LATENCY_MS,30,5.118167,5.0647,0.201323,4.9749,6.0854
58,PASS_B_SEGMENTER_FIRST,9,7VMQ21x6vDuAvoY6Ku2F,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,10.583373,10.05995,1.040287,9.6439,13.3429
59,PASS_B_SEGMENTER_FIRST,9,7VMQ21x6vDuAvoY6Ku2F,D2,MODEL_INFERENCE_LATENCY_MS,30,6.75282,4.4719,2.817477,4.2134,10.6196
59,PASS_B_SEGMENTER_FIRST,9,7VMQ21x6vDuAvoY6Ku2F,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,13.67986,13.61025,0.259251,13.1495,14.5126
60,PASS_B_SEGMENTER_FIRST,10,ahfMFVQYlwiC5qDCiYTe,S1,MODEL_INFERENCE_LATENCY_MS,30,6.394193,5.46015,2.199613,5.224,11.6674
60,PASS_B_SEGMENTER_FIRST,10,ahfMFVQYlwiC5qDCiYTe,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,15.416857,15.38065,0.278401,15.0478,16.2805
61,PASS_B_SEGMENTER_FIRST,10,ahfMFVQYlwiC5qDCiYTe,D2,MODEL_INFERENCE_LATENCY_MS,30,4.56299,4.57235,0.115184,4.2556,4.7891
61,PASS_B_SEGMENTER_FIRST,10,ahfMFVQYlwiC5qDCiYTe,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,6.935327,6.92105,0.113007,6.7457,7.3381
62,PASS_B_SEGMENTER_FIRST,11,nXwfWz2We6dOnsyzeEno,S1,MODEL_INFERENCE_LATENCY_MS,30,5.291033,5.25135,0.187691,4.9609,6.0888
62,PASS_B_SEGMENTER_FIRST,11,nXwfWz2We6dOnsyzeEno,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,11.288437,10.1944,2.454087,9.9483,18.9296
63,PASS_B_SEGMENTER_FIRST,11,nXwfWz2We6dOnsyzeEno,D2,MODEL_INFERENCE_LATENCY_MS,30,8.233737,9.8483,2.483529,4.3881,10.2749
63,PASS_B_SEGMENTER_FIRST,11,nXwfWz2We6dOnsyzeEno,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,7.075633,6.98135,0.235707,6.7839,7.7235
64,PASS_B_SEGMENTER_FIRST,12,3LUOWEww9aCx2Cx4B38y,S1,MODEL_INFERENCE_LATENCY_MS,30,5.490793,5.2291,0.653033,5.0528,7.3833
64,PASS_B_SEGMENTER_FIRST,12,3LUOWEww9aCx2Cx4B38y,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,8.32285,7.9513,0.821431,7.7405,10.3301
65,PASS_B_SEGMENTER_FIRST,12,3LUOWEww9aCx2Cx4B38y,D2,MODEL_INFERENCE_LATENCY_MS,30,4.397877,4.4003,0.08731,4.2364,4.6031
65,PASS_B_SEGMENTER_FIRST,12,3LUOWEww9aCx2Cx4B38y,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,12.25893,12.31025,0.572389,9.6878,13.1227
66,PASS_B_SEGMENTER_FIRST,13,d1LRdQbKYoIKVWX76Mj1,S1,MODEL_INFERENCE_LATENCY_MS,30,11.244587,11.23855,0.190048,10.988,11.9043
66,PASS_B_SEGMENTER_FIRST,13,d1LRdQbKYoIKVWX76Mj1,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,12.406167,12.2258,3.714504,8.4859,16.8722
67,PASS_B_SEGMENTER_FIRST,13,d1LRdQbKYoIKVWX76Mj1,D2,MODEL_INFERENCE_LATENCY_MS,30,4.946133,4.69005,0.728003,4.3582,7.2916
67,PASS_B_SEGMENTER_FIRST,13,d1LRdQbKYoIKVWX76Mj1,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,7.191653,7.10395,0.292617,6.8247,7.9732
68,PASS_B_SEGMENTER_FIRST,14,yE5PdkrjifxbV7QoD5xc,S1,MODEL_INFERENCE_LATENCY_MS,30,8.820033,11.16105,3.096137,5.0977,12.1604
68,PASS_B_SEGMENTER_FIRST,14,yE5PdkrjifxbV7QoD5xc,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,15.96561,15.71975,0.535736,15.3028,17.0499
69,PASS_B_SEGMENTER_FIRST,14,yE5PdkrjifxbV7QoD5xc,D2,MODEL_INFERENCE_LATENCY_MS,30,7.04734,5.24105,2.772626,4.3084,10.4375
69,PASS_B_SEGMENTER_FIRST,14,yE5PdkrjifxbV7QoD5xc,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,7.066103,7.0116,0.192469,6.8096,7.5776
70,PASS_B_SEGMENTER_FIRST,15,9uyGbpRuvoK6FWsiIhGx,S1,MODEL_INFERENCE_LATENCY_MS,30,9.38808,11.14835,2.739908,5.0071,12.0819
70,PASS_B_SEGMENTER_FIRST,15,9uyGbpRuvoK6FWsiIhGx,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,8.25786,8.2049,0.216181,7.9427,8.8928
71,PASS_B_SEGMENTER_FIRST,15,9uyGbpRuvoK6FWsiIhGx,D2,MODEL_INFERENCE_LATENCY_MS,30,4.607343,4.45035,0.56448,4.2664,7.04
