group_id,image_count,zero_instance_image_count,group_type,has_helmet_loose,has_helmet_on_head,has_person,has_vest_loose,has_vest_on_body,images_with_helmet_loose,images_with_helmet_on_head,images_with_person,images_with_vest_loose,images_with_vest_on_body,instances_helmet_loose,instances_helmet_on_head,instances_person,instances_vest_loose,instances_vest_on_body,total_instances
singleton-1BVaqcupKpVSmlh5tncK,1,0,SINGLETON,true,false,false,false,false,1,0,0,0,0,1,0,0,0,0,1
singleton-1XJO4jpZ1EjuFK7M5WzU,1,0,SINGLETON,true,false,false,false,false,1,0,0,0,0,1,0,0,0,0,1
singleton-1dnS0NtMgQN35Eb4GNTe,1,0,SINGLETON,false,false,false,true,false,0,0,0,1,0,0,0,0,3,0,3
singleton-1zBF8eW6TRm4IBAb3Kwv,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,4,0,0,4
singleton-2Qh4yEmcE64JRJXTM10C,1,0,SINGLETON,false,false,true,false,true,0,0,1,0,1,0,0,1,0,1,2
singleton-2estUvSXu4usdh4plcAm,1,0,SINGLETON,true,true,true,false,true,1,1,1,0,1,1,2,5,0,3,11
singleton-2qD9FzEoqf4Rsihf6kf7,1,0,SINGLETON,false,false,true,false,true,0,0,1,0,1,0,0,1,0,1,2
singleton-35kJU6sOxBnL8qucfgHx,1,0,SINGLETON,false,true,true,false,false,0,1,1,0,0,0,2,2,0,0,4
singleton-3INKyAoeOEbPQKuxINbX,1,0,SINGLETON,false,false,true,false,true,0,0,1,0,1,0,0,18,0,7,25
singleton-3wdTWWyA3a9YrQ9EfLc9,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,2,0,1,4
singleton-4XETInqs70Y4H9ry55k3,1,0,SINGLETON,false,false,true,false,true,0,0,1,0,1,0,0,1,0,1,2
singleton-4ajEucaVD61th8hqHdux,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,1,0,0,1
singleton-4baqXpqm2eXB2CHZWkM9,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,5,0,0,5
singleton-4ezyg6KhKI36ubNpMX1z,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,1,0,1,3
singleton-5fj7MBBP6mq9NtLfV51m,1,0,SINGLETON,false,false,true,false,true,0,0,1,0,1,0,0,1,0,1,2
singleton-5p4hDwmBcrn3EI04GmlA,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,1,0,2,4
singleton-5tvMIxMJkb5Hp9bD8hBw,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,1,0,0,1
singleton-5xqkoD8kcbQ7JWIll2KF,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,7,8,0,7,22
singleton-5z8XJfD2gto4gT3gwPAK,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,2,0,1,4
singleton-60TqAIaOldetEAmBqqMX,1,1,SINGLETON,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0
singleton-619mdz3TlcOedTGFv0za,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,1,0,0,1
singleton-62UoaBv0beM5cBLCubmT,1,1,SINGLETON,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0
singleton-6B8gSWbJYQFfVadXSWxT,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,4,0,0,4
singleton-6R3F7WoZUjSohZEFSgXr,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,1,0,0,1
singleton-6ZHpQueANukCh7UeL4s5,1,0,SINGLETON,false,false,true,false,true,0,0,1,0,1,0,0,2,0,1,3
singleton-6fMvy2k97BSY0a3P9Fbg,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,11,0,0,11
singleton-6hEWEvuUeZhYU514UX1O,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,1,0,0,1
singleton-6lWV6Qw0w487DgkyyVX9,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,1,0,1,3
singleton-6nPmmdeGSmklKpfLZ04I,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,1,0,1,3
singleton-6wbVR0oBIJ7D6xM1XfYh,1,0,SINGLETON,false,false,true,false,true,0,0,1,0,1,0,0,1,0,1,2
singleton-6yISFDLTaSrGRErrVKUw,1,0,SINGLETON,true,false,false,false,false,1,0,0,0,0,32,0,0,0,0,32
singleton-6zcUFRrk82e1KtW3sxk6,1,0,SINGLETON,false,true,true,false,false,0,1,1,0,0,0,1,1,0,0,2
singleton-70XMYeBZO8t3mAXtu9ke,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,1,0,1,3
singleton-77sSza06NSDiTCn9F0sb,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,3,0,1,5
singleton-7Qa4QokXVymOY6hvk9CF,1,0,SINGLETON,false,false,true,false,true,0,0,1,0,1,0,0,1,0,1,2
singleton-7VMQ21x6vDuAvoY6Ku2F,1,0,SINGLETON,false,false,true,false,true,0,0,1,0,1,0,0,5,0,1,6
singleton-7ZBa5LYXLSg2gd59x0Nl,1,1,SINGLETON,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0
singleton-7aLiOz0V7KPglydbD5H7,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,3,3,0,3,9
singleton-7fuygdEv6dS4UyQgImYj,1,0,SINGLETON,false,false,true,false,true,0,0,1,0,1,0,0,4,0,2,6
singleton-84V2JE8FINqroFaJRHRL,1,0,SINGLETON,false,false,true,false,true,0,0,1,0,1,0,0,2,0,2,4
singleton-88HbrJU619doTzltW6lx,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,7,0,0,7
singleton-8ClEJ3kbOB1pz5A9tOlh,1,0,SINGLETON,false,false,true,false,true,0,0,1,0,1,0,0,2,0,1,3
singleton-8JoO2wxDSeESnh5SmJpP,1,0,SINGLETON,false,false,true,false,true,0,0,1,0,1,0,0,6,0,3,9
singleton-8LgvW2srLb751N5SJDxq,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,1,0,1,3
singleton-8NK1Ihm4MCS1gRXK4WzH,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,1,0,0,1
singleton-8O2JjSJCb1ylJibwosnA,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,1,0,1,3
singleton-8Ru4Ji0Klp7qaNJNZXqv,1,0,SINGLETON,false,false,true,false,true,0,0,1,0,1,0,0,5,0,1,6
singleton-8kz63cbCBKbeeiebv7po,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,1,0,0,1
singleton-9ImTEhfk6VqdMSI01r6x,1,0,SINGLETON,true,false,false,false,false,1,0,0,0,0,1,0,0,0,0,1
singleton-9RMi9YBhKa1nLz3ugIma,1,0,SINGLETON,false,false,true,false,true,0,0,1,0,1,0,0,1,0,1,2
singleton-9T2zKDdtXzGyeq44pjGp,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,2,0,0,2
singleton-9V8ayqofeUijfaI5tMrr,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,2,2,0,2,6
singleton-9VzteFV9D5SnmZlhQHfL,1,0,SINGLETON,false,false,true,false,true,0,0,1,0,1,0,0,1,0,1,2
singleton-9jEW0aifcZKM5bRlaCWY,1,0,SINGLETON,true,false,false,false,false,1,0,0,0,0,2,0,0,0,0,2
singleton-9koFugzZozUI9YIfWZk0,1,1,SINGLETON,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0
singleton-9uyGbpRuvoK6FWsiIhGx,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,2,0,1,4
singleton-9xNY90loilCLVSX84iwp,1,0,SINGLETON,false,true,true,false,false,0,1,1,0,0,0,1,1,0,0,2
singleton-A2iSTnVfTHioOl73tkQd,1,0,SINGLETON,false,true,true,false,false,0,1,1,0,0,0,1,3,0,0,4
singleton-AIAwqRIKtkrSOj8atqNs,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,1,0,1,3
singleton-Ai3fqVHdn3cSDpuEaa5l,1,0,SINGLETON,false,true,true,false,false,0,1,1,0,0,0,1,1,0,0,2
singleton-Ais9TUGiL1MJDTRdjVnE,1,0,SINGLETON,true,false,false,false,false,1,0,0,0,0,1,0,0,0,0,1
singleton-AvvR6iF4C7rqEdb4F2SB,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,1,0,0,1
singleton-B28mQjiO7iQrGNpLEnKa,1,0,SINGLETON,true,false,true,false,false,1,0,1,0,0,1,0,1,0,0,2
singleton-B2QiCIntf9RxLHCBKmVy,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,2,0,1,4
singleton-B2znvjHzOOKJdNuzNnwo,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,1,0,1,3
singleton-B809pvlQ32XXT2akrDG5,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,2,0,0,2
singleton-BFG4pp4pV1WkTUQUDVvc,1,0,SINGLETON,false,false,true,false,true,0,0,1,0,1,0,0,1,0,1,2
singleton-BKQc0VOlqhWGIuqGozuK,1,0,SINGLETON,true,false,false,false,false,1,0,0,0,0,1,0,0,0,0,1
singleton-BTDhw7BCTG4sfwnaraKa,1,0,SINGLETON,false,false,true,false,true,0,0,1,0,1,0,0,1,0,1,2
singleton-BZkvs1U3ZhiNDdJ7EitR,1,0,SINGLETON,true,false,false,false,false,1,0,0,0,0,1,0,0,0,0,1
singleton-BgmyvUGHmaKd9YGpEfYd,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,1,0,1,3
singleton-BhdMkBrR1P1zUTVq9DaC,1,0,SINGLETON,true,false,true,false,false,1,0,1,0,0,1,0,1,0,0,2
singleton-BqslKEg23m8hmDaQGJMo,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,1,0,2,4
singleton-BwtdnuFIdhZLIWJuO3BZ,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,1,0,0,1
singleton-CDbWzCeakwV73xXd2qlq,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,1,0,4,6
singleton-CF4PPPCAZgulnXoSl3hj,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,2,2,0,2,6
singleton-CGks86YYT3ldFKEyDmBe,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,1,0,0,1
singleton-CM5yr8YHsaaoIdidqtnU,1,0,SINGLETON,false,false,true,false,true,0,0,1,0,1,0,0,1,0,1,2
singleton-CSJxc0owYRXzhKLvpTQ9,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,1,0,0,1
singleton-CVIS4alNHovwaIjoYMxe,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,1,0,0,1
singleton-Cd1T5uyp8ZPWDdHbg0nr,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,4,0,0,4
singleton-CoVIro6CIADvOn5LnoQw,1,0,SINGLETON,false,true,true,false,false,0,1,1,0,0,0,1,1,0,0,2
singleton-D2TlRBeF3Z3XnwTXgwdf,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,2,2,0,2,6
singleton-DErEbvqFZXpWqvCNQa9N,1,0,SINGLETON,false,true,true,false,false,0,1,1,0,0,0,1,1,0,0,2
singleton-DOt8L8n8BNwvRpo1BFy7,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,2,0,0,2
singleton-DQK6LrJqCXecgKPqH5UV,1,0,SINGLETON,false,true,true,false,false,0,1,1,0,0,0,1,1,0,0,2
singleton-DRtY5eg2m6BkQJHYfMJy,1,0,SINGLETON,false,true,true,false,false,0,1,1,0,0,0,1,1,0,0,2
singleton-DY7f9eSSIqF3cejIv59H,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,6,0,0,6
singleton-DcP4LlxYQwLImU646IZ7,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,1,0,2,4
singleton-Df656VZ1wmrTjmmkqq3j,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,1,0,0,1
singleton-DiZN18wef1vuHh6pVvtI,1,0,SINGLETON,true,false,false,false,false,1,0,0,0,0,1,0,0,0,0,1
singleton-Dl8EqAh6dPQw7Dq34TlH,1,0,SINGLETON,true,false,true,false,true,1,0,1,0,1,1,0,1,0,1,3
singleton-Dny3q3vJmCFOBIzhGir1,1,0,SINGLETON,false,true,true,false,false,0,1,1,0,0,0,1,1,0,0,2
singleton-EMcfZIuO2gmvi4krBUxS,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,2,0,2,5
singleton-EdR5Rau43iqKaPKbjsHM,1,0,SINGLETON,false,false,true,false,true,0,0,1,0,1,0,0,1,0,1,2
singleton-F75mTbxKUV3DbBpuTvZq,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,2,0,1,4
singleton-F9BUOPsajE69txpyePoP,1,0,SINGLETON,true,false,true,false,true,1,0,1,0,1,1,0,2,0,2,5
singleton-FbZqQM7gZbTKYNSbQPNc,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,2,5,0,2,9
singleton-Fclex3JhZn6KA5UzhPqs,1,0,SINGLETON,true,false,true,false,true,1,0,1,0,1,1,0,1,0,1,3
singleton-FdDCioACvsve0FOYsuw2,1,0,SINGLETON,false,false,true,false,true,0,0,1,0,1,0,0,1,0,1,2
singleton-FnmvDGwRQ2lAaLFhuOWQ,1,0,SINGLETON,false,true,true,false,false,0,1,1,0,0,0,1,1,0,0,2
singleton-Foo1oq3oHF7pBhTWKpnL,1,0,SINGLETON,true,false,true,false,true,1,0,1,0,1,1,0,1,0,1,3
singleton-FxSzogHP5qjTmbBVRQ5K,1,0,SINGLETON,false,false,true,false,true,0,0,1,0,1,0,0,2,0,1,3
singleton-FyyZcyYXsPHz2XgfCwAs,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,1,0,1,3
singleton-G4gekWExHFiC5oxkqJg6,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,6,0,0,6
singleton-G6t1yK9gNn0LIS4hbciD,1,0,SINGLETON,false,false,true,false,true,0,0,1,0,1,0,0,1,0,1,2
singleton-GAAQsDQ6cH9YB5cJ6aHb,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,1,0,1,3
singleton-GF2RQ1mpGBJzlTjKoCHR,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,2,2,0,2,6
singleton-GI3xss1sRRS18wHohAkx,1,0,SINGLETON,false,false,true,false,true,0,0,1,0,1,0,0,1,0,1,2
singleton-GKGcxwlCacsz6brHHLRV,1,0,SINGLETON,true,false,false,false,false,1,0,0,0,0,1,0,0,0,0,1
singleton-Gbgzj50ZzCdiYvoAOmpo,1,0,SINGLETON,false,false,true,false,true,0,0,1,0,1,0,0,1,0,1,2
singleton-GgFocHO8SbtIBUGEFc8E,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,1,0,0,1
singleton-GpEW4sBKjwFabVZSUq2b,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,2,2,0,2,6
singleton-Gu6rHBgSwUF5mwFa6lfI,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,1,0,0,1
singleton-H6Qo9zKVlWVMqPD3713Z,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,1,0,0,1
singleton-HKL8h8X9rHt0XCXlAVNL,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,1,0,1,3
singleton-HQnZU6tMxbfwgxWzc8mt,1,0,SINGLETON,true,false,false,false,false,1,0,0,0,0,1,0,0,0,0,1
singleton-HU0eUY9BAn3Cnsxt7y4r,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,1,0,0,1
singleton-HY3Mq3OzeaAt6PXtTxKq,1,0,SINGLETON,true,false,true,false,false,1,0,1,0,0,1,0,1,0,0,2
singleton-HYb9stwdqDCKBBrTeTLe,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,1,0,1,3
singleton-HYomb2CyhaWUoXglExmz,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,4,4,0,4,12
singleton-HvvG43BEgtvO5Az8qBX5,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,4,3,0,4,11
singleton-HwlufkrcXA9g8e3aNCm5,1,0,SINGLETON,true,false,false,true,false,1,0,0,1,0,4,0,0,4,0,8
singleton-IGdAVWEbTKrgM8llrZbm,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,1,0,1,3
singleton-IUKDvF2wZjRXWHNvujtd,1,0,SINGLETON,false,false,true,false,true,0,0,1,0,1,0,0,2,0,2,4
singleton-IdQmnhilWUB8CW2LFhdD,1,0,SINGLETON,true,false,false,false,false,1,0,0,0,0,1,0,0,0,0,1
singleton-IdlpHmd45MACc3eXTRqN,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,1,0,0,1
singleton-IxZ3C1K7vs4I43UcFG63,1,0,SINGLETON,false,true,true,false,false,0,1,1,0,0,0,4,7,0,0,11
singleton-J1TlMOzR3PfvLVrD3kL2,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,1,0,0,1
singleton-J3hznbBPysK0tWYT9WUi,1,0,SINGLETON,false,false,true,false,true,0,0,1,0,1,0,0,1,0,1,2
singleton-J43xY0jaSQexxzdN3Uoe,1,0,SINGLETON,false,false,true,false,true,0,0,1,0,1,0,0,1,0,1,2
singleton-J8VVYL7NFqag8Q2h1LdU,1,0,SINGLETON,false,true,true,false,false,0,1,1,0,0,0,1,6,0,0,7
singleton-JFPLvXzjr38rcbgvCedz,1,0,SINGLETON,false,true,true,false,false,0,1,1,0,0,0,1,1,0,0,2
singleton-JQnSkF4L5Wmw2aJj0nae,1,0,SINGLETON,false,true,true,false,false,0,1,1,0,0,0,1,1,0,0,2
singleton-JSKtWAeEIHCqkNcipvGH,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,2,2,0,2,6
singleton-Jn53NESS4TbEWJbuvG70,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,1,0,1,3
singleton-JtlLc8vU4kkL2Jz7ctjA,1,0,SINGLETON,false,true,true,false,false,0,1,1,0,0,0,1,1,0,0,2
singleton-K0CnIma3AqzHtRo2VNdu,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,2,2,0,2,6
singleton-KMRRC0uoR29Yq6wEaJrP,1,0,SINGLETON,true,false,false,false,false,1,0,0,0,0,5,0,0,0,0,5
singleton-KN9YcUjf4MbiILNfF6d1,1,0,SINGLETON,false,true,true,false,false,0,1,1,0,0,0,3,3,0,0,6
singleton-KyqVojaz6oaARWVjEAyG,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,3,3,0,3,9
singleton-LECJ0QrWJeyWICbOqamy,1,0,SINGLETON,false,true,true,false,false,0,1,1,0,0,0,4,4,0,0,8
singleton-LSzsvsjaUz4782epO92M,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,4,4,0,3,11
singleton-LUvZ2w5JsB8sHFevCPRy,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,1,0,0,1
singleton-LgO9XnFYKArvgSB2viem,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,1,0,1,3
singleton-LkPWuopeX4IeCkstwBpU,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,2,2,0,2,6
singleton-MBuNKaZBdNlilQvSv3zC,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,8,0,0,8
singleton-MUAB7pAwP5R5mAfVEWsH,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,1,0,1,3
singleton-Mbgd4Kw22vX5vdWxqfRn,1,0,SINGLETON,false,false,false,true,false,0,0,0,1,0,0,0,0,8,0,8
singleton-MkxXQ8wmfbTbRbgDBAK1,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,4,0,1,6
singleton-MqWRDetc1VZN6mHw7iwA,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,1,0,1,3
singleton-MvvtCo7VlWi4U7eiAk9x,1,0,SINGLETON,false,true,true,false,false,0,1,1,0,0,0,3,3,0,0,6
singleton-NCdN7Jz3Eoh0ICakh5Cx,1,0,SINGLETON,false,false,true,false,true,0,0,1,0,1,0,0,1,0,1,2
singleton-NL3zUnIqUyNKhcch1hNK,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,1,0,1,3
singleton-NSxOF60pUyiloAjZa1zY,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,4,0,0,4
singleton-Npv1zPbAHshMBBa1mbY4,1,0,SINGLETON,true,false,false,false,false,1,0,0,0,0,1,0,0,0,0,1
singleton-NtpAqzunm5la8DrZocsj,1,1,SINGLETON,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0
singleton-OQJwjQoYsf1KUgr9G0V8,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,5,4,0,4,13
singleton-OnqsKM2CX6FubTfVtaAG,1,1,SINGLETON,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0
singleton-Onxr5fVm9Rf4SRgJSUwU,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,1,0,0,1
singleton-OugGxvkSv1brFNywY26P,1,0,SINGLETON,true,false,false,false,false,1,0,0,0,0,1,0,0,0,0,1
singleton-P2bOf45tvhUMqEYK8wqW,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,1,0,1,3
singleton-P4kyoAALuWE7lYtori2d,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,1,0,0,1
singleton-P7zAHwjb68yXM9zLAlb1,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,1,0,0,1
singleton-P9Jz8sNsaNTHaD6dqhKc,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,4,4,0,4,12
singleton-PIo6f9EGJ9nINHXHAGy7,1,0,SINGLETON,true,false,true,false,true,1,0,1,0,1,1,0,1,0,1,3
singleton-PTpMxjS814v4U28HlRcf,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,1,0,0,1
singleton-PqhswFNoQbq1qKOEBp5u,1,0,SINGLETON,true,false,false,false,false,1,0,0,0,0,16,0,0,0,0,16
singleton-Pto3IbY2BV6RjJJsxw4T,1,0,SINGLETON,true,false,false,false,false,1,0,0,0,0,1,0,0,0,0,1
singleton-QUQENHzkWEHi5igbSpA1,1,0,SINGLETON,false,true,true,false,false,0,1,1,0,0,0,1,1,0,0,2
singleton-QVvTSJRWlcfwVnFYCOJ9,1,0,SINGLETON,false,false,true,false,true,0,0,1,0,1,0,0,1,0,1,2
singleton-QYjn7wMnjUSLcCSRwwn1,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,2,0,0,2
singleton-QiKJqc8mjFL8EnIf105y,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,1,0,0,1
singleton-QmjHa7u0ZQG0cE5HadWX,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,1,0,0,1
singleton-R32m4IeILycIsDayiufx,1,0,SINGLETON,false,false,true,false,true,0,0,1,0,1,0,0,1,0,1,2
singleton-RGHYIrvH4ypjKeh0X9jI,1,0,SINGLETON,false,false,true,false,true,0,0,1,0,1,0,0,7,0,1,8
singleton-RKuAbxAitj0j4NzRD0Px,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,2,0,2,5
singleton-RL2s7RdAmeNec6fLrJez,1,0,SINGLETON,true,false,false,false,false,1,0,0,0,0,9,0,0,0,0,9
singleton-RRlPrUJXfRWGGJ6CeKIL,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,1,0,3,5
singleton-RdJdZdkvlh1EvYQcyy98,1,0,SINGLETON,false,false,true,false,true,0,0,1,0,1,0,0,1,0,1,2
singleton-RpNbe3NA9Ewqpz10Tid7,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,2,0,2,5
singleton-SA6z7RB5PM7Ij8AwZgp1,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,1,0,1,3
singleton-SAxTZz7s67P7PHgPiVQD,1,0,SINGLETON,true,true,true,false,true,1,1,1,0,1,1,4,10,0,6,21
singleton-SJJJI5U15RfnloEUpsCl,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,1,0,0,1
